s t k edges
1 40 0 1-39,39-40
1 40 1 1-8,8-9,9-41,41-40
1 40 2 1-44,44-39,39-40
40 29 0 40-41,41-21,21-30,30-36,36-29
40 29 1 40-39,39-1,1-0,0-4,4-5,5-3,3-29
40 29 2 40-41,41-21,21-30,30-32,32-29
21 37 0 21-30,30-37
21 37 1 21-41,41-40,40-39,39-1,1-0,0-4,4-2,2-32,32-37
21 37 2 21-30,30-32,32-37
4 35 0 4-2,2-32,32-34,34-35
4 35 1 4-5,5-3,3-29,29-36,36-35
4 35 2 4-5,5-2,2-32,32-34,34-35
8 38 0 8-1,1-47,47-38
8 38 1 8-10,10-44,44-47,47-46,46-38
8 38 2 8-10,10-44,44-47,47-38
7 22 0 7-3,3-24,24-22
7 22 1 7-33,33-2,2-6,6-22
7 22 2 7-3,3-6,6-22
46 23 0 46-47,47-1,1-0,0-4,4-5,5-3,3-23
46 23 1 46-45,45-42,42-41,41-21,21-30,30-36,36-29,29-6,6-25,25-23
46 23 2 46-47,47-1,1-0,0-4,4-2,2-3,3-23
29 37 0 29-32,32-37
29 37 1 29-36,36-37
29 37 2 29-34,34-32,32-30,30-37
33 34 0 33-32,32-34
33 34 1 33-2,2-6,6-29,29-34
33 34 2 33-7,7-3,3-29,29-28,28-34
16 38 0 16-37,37-30,30-21,21-41,41-42,42-45,45-46,46-38
16 38 1 16-17,17-18,18-37,37-32,32-2,2-4,4-0,0-1,1-47,47-38
16 38 2 16-37,37-32,32-2,2-4,4-0,0-1,1-47,47-38
36 41 0 36-30,30-21,21-41
36 41 1 36-29,29-32,32-2,2-4,4-0,0-1,1-39,39-40,40-41
36 41 2 36-37,37-30,30-21,21-41
41 34 0 41-21,21-30,30-32,32-34
41 34 1 41-40,40-39,39-1,1-0,0-4,4-5,5-3,3-29,29-34
41 34 2 41-26,26-21,21-30,30-32,32-34
22 12 0 22-6,6-29,29-12
22 12 1 22-24,24-3,3-29,29-11,11-12
22 12 2 22-24,24-3,3-29,29-12
44 25 0 44-1,1-0,0-4,4-2,2-6,6-25
44 25 1 44-39,39-40,40-41,41-21,21-30,30-36,36-29,29-3,3-24,24-25
44 25 2 44-47,47-1,1-0,0-4,4-2,2-6,6-25
34 3 0 34-29,29-3
34 3 1 34-32,32-2,2-3
34 3 2 34-28,28-29,29-6,6-3
24 21 0 24-3,3-29,29-36,36-30,30-21
24 21 1 24-25,25-6,6-2,2-4,4-0,0-1,1-39,39-40,40-41,41-21
24 21 2 24-3,3-2,2-32,32-30,30-21
0 14 0 0-4,4-2,2-6,6-15,15-14
0 14 1 0-1,1-39,39-40,40-41,41-21,21-30,30-36,36-29,29-14
0 14 2 0-4,4-2,2-32,32-29,29-14
38 31 0 38-46,46-45,45-42,42-41,41-21,21-30,30-31
38 31 1 38-47,47-1,1-0,0-4,4-2,2-32,32-20,20-31
38 31 2 38-46,46-45,45-42,42-26,26-21,21-30,30-31
3 11 0 3-29,29-11
3 11 1 3-6,6-29,29-12,12-11
3 11 2 3-6,6-29,29-11
28 1 0 28-34,34-32,32-2,2-4,4-0,0-1
28 1 1 28-29,29-32,32-30,30-21,21-41,41-40,40-39,39-1
28 1 2 28-29,29-32,32-2,2-4,4-0,0-1
1 33 0 1-0,0-4,4-2,2-33
1 33 1 1-39,39-40,40-41,41-21,21-30,30-32,32-33
1 33 2 1-0,0-4,4-5,5-2,2-33
40 4 0 40-39,39-1,1-0,0-4
40 4 1 40-41,41-21,21-30,30-32,32-2,2-4
40 4 2 40-39,39-44,44-1,1-0,0-4
21 46 0 21-26,26-42,42-45,45-46
21 46 1 21-41,41-40,40-39,39-44,44-47,47-46
21 46 2 21-30,30-32,32-2,2-4,4-0,0-1,1-47,47-38,38-46
4 42 0 4-0,0-1,1-44,44-45,45-42
4 42 1 4-2,2-32,32-30,30-21,21-41,41-42
4 42 2 4-0,0-1,1-39,39-40,40-41,41-42
8 45 0 8-10,10-44,44-45
8 45 1 8-9,9-41,41-42,42-45
8 45 2 8-1,1-47,47-46,46-45
7 15 0 7-3,3-6,6-15
7 15 1 7-33,33-32,32-29,29-15
7 15 2 7-3,3-29,29-15
46 30 0 46-45,45-42,42-41,41-21,21-30
46 30 1 46-47,47-1,1-0,0-4,4-2,2-32,32-30
46 30 2 46-45,45-42,42-26,26-21,21-30
16 29 0 16-37,37-32,32-29
16 29 1 16-17,17-19,19-36,36-29
16 29 2 16-37,37-36,36-29
41 43 0 41-9,9-43
41 43 1 41-42,42-45,45-44,44-10,10-43
41 43 2 41-9,9-8,8-10,10-43
22 7 0 22-24,24-3,3-7
22 7 1 22-6,6-2,2-33,33-7
22 7 2 22-6,6-3,3-7
44 16 0 44-1,1-0,0-4,4-2,2-32,32-37,37-16
44 16 1 44-39,39-40,40-41,41-21,21-30,30-37,37-18,18-17,17-16
44 16 2 44-45,45-42,42-41,41-21,21-30,30-37,37-16
47 5 0 47-1,1-0,0-4,4-5
47 5 1 47-44,44-39,39-40,40-41,41-21,21-30,30-32,32-2,2-5
47 5 2 47-44,44-1,1-0,0-4,4-5
12 41 0 12-29,29-36,36-30,30-21,21-41
12 41 1 12-28,28-34,34-32,32-2,2-4,4-0,0-1,1-39,39-40,40-41
12 41 2 12-29,29-32,32-30,30-21,21-41
34 26 0 34-32,32-30,30-21,21-26
34 26 1 34-29,29-32,32-2,2-4,4-0,0-1,1-39,39-40,40-41,41-26
34 26 2 34-29,29-32,32-30,30-21,21-26
24 28 0 24-3,3-29,29-28
24 28 1 24-25,25-6,6-29,29-12,12-28
24 28 2 24-22,22-6,6-2,2-32,32-34,34-28
45 47 0 45-44,44-47
45 47 1 45-46,46-47
45 47 2 45-42,42-41,41-40,40-39,39-1,1-47
10 19 0 10-8,8-9,9-41,41-21,21-30,30-36,36-19
10 19 1 10-44,44-1,1-0,0-4,4-2,2-32,32-37,37-18,18-17,17-19
10 19 2 10-43,43-9,9-41,41-21,21-30,30-36,36-19
13 6 0 13-12,12-29,29-6
13 6 1 13-14,14-15,15-6
13 6 2 13-14,14-29,29-6
0 5 0 0-4,4-5
0 5 1 0-1,1-39,39-40,40-41,41-21,21-30,30-32,32-2,2-5
0 5 2 0-4,4-2,2-5
38 22 0 38-47,47-1,1-0,0-4,4-2,2-6,6-22
38 22 1 38-46,46-45,45-42,42-41,41-21,21-30,30-36,36-29,29-3,3-24,24-22
38 22 2 38-46,46-47,47-1,1-0,0-4,4-2,2-6,6-22
25 3 0 25-24,24-3
25 3 1 25-6,6-3
25 3 2 25-23,23-3
28 24 0 28-29,29-3,3-24
28 24 1 28-34,34-29,29-6,6-25,25-24
28 24 2 28-12,12-29,29-15,15-6,6-22,22-24
40 11 0 40-41,41-21,21-30,30-36,36-29,29-11
40 11 1 40-39,39-1,1-0,0-4,4-5,5-3,3-29,29-12,12-11
40 11 2 40-41,41-21,21-30,30-32,32-29,29-11
4 17 0 4-2,2-32,32-37,37-16,16-17
4 17 1 4-5,5-3,3-29,29-36,36-19,19-17
4 17 2 4-0,0-1,1-39,39-40,40-41,41-21,21-30,30-37,37-18,18-17
26 34 0 26-21,21-30,30-32,32-34
26 34 1 26-41,41-40,40-39,39-1,1-0,0-4,4-5,5-3,3-29,29-34
26 34 2 26-41,41-21,21-30,30-32,32-34
7 4 0 7-33,33-2,2-4
7 4 1 7-3,3-5,5-4
7 4 2 7-3,3-2,2-4
46 33 0 46-47,47-1,1-0,0-4,4-2,2-33
46 33 1 46-45,45-42,42-41,41-21,21-30,30-32,32-33
46 33 2 46-47,47-44,44-1,1-0,0-4,4-2,2-33
16 20 0 16-37,37-32,32-20
16 20 1 16-17,17-18,18-37,37-30,30-31,31-20
16 20 2 16-37,37-30,30-32,32-20
19 1 0 19-36,36-30,30-21,21-41,41-40,40-39,39-1
19 1 1 19-17,17-16,16-37,37-32,32-2,2-4,4-0,0-1
19 1 2 19-36,36-37,37-32,32-2,2-4,4-0,0-1
41 44 0 41-40,40-39,39-44
41 44 1 41-42,42-45,45-44
41 44 2 41-9,9-8,8-10,10-44
22 30 0 22-6,6-29,29-36,36-30
22 30 1 22-24,24-3,3-2,2-32,32-30
22 30 2 22-6,6-2,2-32,32-30
44 15 0 44-1,1-0,0-4,4-2,2-6,6-15
44 15 1 44-39,39-40,40-41,41-21,21-30,30-36,36-29,29-15
44 15 2 44-47,47-1,1-0,0-4,4-2,2-6,6-15
47 2 0 47-1,1-0,0-4,4-2
47 2 1 47-44,44-39,39-40,40-41,41-21,21-30,30-32,32-2
47 2 2 47-44,44-1,1-0,0-4,4-2
12 32 0 12-29,29-32
12 32 1 12-28,28-34,34-32
12 32 2 12-11,11-29,29-36,36-37,37-32
34 21 0 34-32,32-30,30-21
34 21 1 34-29,29-32,32-2,2-4,4-0,0-1,1-39,39-40,40-41,41-21
34 21 2 34-29,29-32,32-30,30-21
17 43 0 17-16,16-37,37-30,30-21,21-41,41-9,9-43
17 43 1 17-18,18-37,37-32,32-2,2-4,4-0,0-1,1-44,44-10,10-43
17 43 2 17-18,18-37,37-30,30-21,21-41,41-9,9-43
45 40 0 45-42,42-41,41-40
45 40 1 45-44,44-39,39-40
45 40 2 45-42,42-26,26-41,41-40
10 26 0 10-43,43-9,9-41,41-26
10 26 1 10-44,44-45,45-42,42-26
10 26 2 10-8,8-1,1-39,39-40,40-41,41-21,21-26
0 28 0 0-4,4-5,5-3,3-29,29-28
0 28 1 0-1,1-39,39-40,40-41,41-21,21-30,30-32,32-34,34-28
0 28 2 0-4,4-2,2-32,32-34,34-28
38 9 0 38-47,47-1,1-8,8-9
38 9 1 38-46,46-45,45-42,42-41,41-9
38 9 2 38-47,47-44,44-10,10-8,8-9
25 4 0 25-6,6-2,2-4
25 4 1 25-24,24-3,3-5,5-4
25 4 2 25-23,23-3,3-29,29-36,36-30,30-21,21-41,41-40,40-39,39-1,1-0,0-4
28 23 0 28-29,29-3,3-23
28 23 1 28-12,12-29,29-6,6-25,25-23
28 23 2 28-34,34-32,32-2,2-3,3-24,24-23
14 38 0 14-15,15-6,6-2,2-4,4-0,0-1,1-47,47-38
14 38 1 14-29,29-32,32-30,30-21,21-41,41-42,42-45,45-46,46-38
14 38 2 14-29,29-32,32-2,2-4,4-0,0-1,1-47,47-38
4 24 0 4-5,5-3,3-24
4 24 1 4-2,2-6,6-22,22-24
4 24 2 4-0,0-1,1-39,39-40,40-41,41-21,21-30,30-36,36-29,29-3,3-23,23-24
26 45 0 26-42,42-45
26 45 1 26-41,41-40,40-39,39-44,44-45
26 45 2 26-21,21-41,41-9,9-8,8-1,1-47,47-46,46-45
46 40 0 46-45,45-42,42-41,41-40
46 40 1 46-47,47-44,44-39,39-40
46 40 2 46-47,47-1,1-39,39-40
16 11 0 16-37,37-32,32-29,29-11
16 11 1 16-17,17-19,19-36,36-29,29-12,12-11
16 11 2 16-37,37-36,36-29,29-11
19 6 0 19-36,36-29,29-6
19 6 1 19-17,17-16,16-37,37-32,32-2,2-6
19 6 2 19-36,36-29,29-3,3-6
41 21 0 41-21
41 21 1 41-26,26-21
41 21 2 41-40,40-39,39-1,1-0,0-4,4-2,2-32,32-30,30-21
22 17 0 22-6,6-29,29-36,36-19,19-17
22 17 1 22-24,24-3,3-2,2-32,32-37,37-18,18-17
22 17 2 22-24,24-3,3-29,29-36,36-19,19-17
5 39 0 5-4,4-0,0-1,1-39
5 39 1 5-2,2-32,32-30,30-21,21-41,41-40,40-39
5 39 2 5-2,2-4,4-0,0-1,1-39
44 6 0 44-1,1-0,0-4,4-2,2-6
44 6 1 44-39,39-40,40-41,41-21,21-30,30-36,36-29,29-6
44 6 2 44-47,47-1,1-0,0-4,4-2,2-6
47 11 0 47-1,1-0,0-4,4-5,5-3,3-29,29-11
47 11 1 47-44,44-39,39-40,40-41,41-21,21-30,30-36,36-29,29-12,12-11
47 11 2 47-1,1-0,0-4,4-2,2-32,32-29,29-11
34 44 0 34-32,32-2,2-4,4-0,0-1,1-44
34 44 1 34-35,35-36,36-30,30-21,21-41,41-42,42-45,45-44
34 44 2 34-29,29-32,32-2,2-4,4-0,0-1,1-44
17 44 0 17-16,16-37,37-32,32-2,2-4,4-0,0-1,1-44
17 44 1 17-18,18-37,37-30,30-21,21-41,41-42,42-45,45-44
17 44 2 17-18,18-37,37-32,32-2,2-4,4-0,0-1,1-44
37 33 0 37-32,32-33
37 33 1 37-30,30-32,32-2,2-33
37 33 2 37-36,36-29,29-3,3-7,7-33
45 33 0 45-42,42-41,41-21,21-30,30-32,32-33
45 33 1 45-44,44-1,1-0,0-4,4-2,2-33
45 33 2 45-42,42-26,26-21,21-30,30-32,32-33
10 5 0 10-8,8-1,1-0,0-4,4-5
10 5 1 10-43,43-9,9-41,41-21,21-30,30-32,32-2,2-5
10 5 2 10-44,44-1,1-0,0-4,4-5
35 23 0 35-34,34-29,29-3,3-23
35 23 1 35-36,36-29,29-6,6-25,25-23
35 23 2 35-36,36-29,29-3,3-23
0 19 0 0-4,4-2,2-32,32-37,37-18,18-17,17-19
0 19 1 0-1,1-39,39-40,40-41,41-21,21-30,30-36,36-19
0 19 2 0-4,4-2,2-32,32-37,37-36,36-19
38 0 0 38-47,47-1,1-0
38 0 1 38-46,46-45,45-42,42-41,41-21,21-30,30-32,32-2,2-4,4-0
38 0 2 38-46,46-47,47-1,1-0
25 13 0 25-6,6-29,29-12,12-13
25 13 1 25-23,23-3,3-29,29-14,14-13
25 13 2 25-6,6-15,15-14,14-13
14 41 0 14-29,29-32,32-30,30-21,21-41
14 41 1 14-15,15-6,6-2,2-4,4-0,0-1,1-39,39-40,40-41
14 41 2 14-29,29-36,36-30,30-21,21-41
4 7 0 4-2,2-33,33-7
4 7 1 4-5,5-3,3-7
4 7 2 4-2,2-3,3-7
29 9 0 29-36,36-30,30-21,21-41,41-9
29 9 1 29-32,32-2,2-4,4-0,0-1,1-8,8-9
29 9 2 29-32,32-30,30-21,21-41,41-9
16 2 0 16-37,37-32,32-2
16 2 1 16-17,17-19,19-36,36-29,29-3,3-2
16 2 2 16-37,37-30,30-32,32-2
19 15 0 19-36,36-29,29-15
19 15 1 19-17,17-16,16-37,37-32,32-2,2-6,6-15
19 15 2 19-36,36-29,29-6,6-15
2 45 0 2-4,4-0,0-1,1-44,44-45
2 45 1 2-32,32-30,30-21,21-41,41-42,42-45
2 45 2 2-4,4-0,0-1,1-39,39-44,44-45
41 30 0 41-21,21-30
41 30 1 41-40,40-39,39-1,1-0,0-4,4-2,2-32,32-30
41 30 2 41-26,26-21,21-30
22 40 0 22-6,6-29,29-36,36-30,30-21,21-41,41-40
22 40 1 22-24,24-3,3-5,5-4,4-0,0-1,1-39,39-40
22 40 2 22-6,6-2,2-32,32-30,30-21,21-41,41-40
5 32 0 5-2,2-32
5 32 1 5-3,3-29,29-32
5 32 2 5-4,4-2,2-33,33-32
9 37 0 9-41,41-21,21-30,30-37
9 37 1 9-8,8-1,1-0,0-4,4-2,2-32,32-37
9 37 2 9-41,41-26,26-21,21-30,30-37
47 16 0 47-1,1-0,0-4,4-2,2-32,32-37,37-16
47 16 1 47-44,44-39,39-40,40-41,41-21,21-30,30-36,36-19,19-17,17-16
47 16 2 47-44,44-1,1-0,0-4,4-2,2-32,32-37,37-16
34 39 0 34-32,32-2,2-4,4-0,0-1,1-39
34 39 1 34-29,29-32,32-30,30-21,21-41,41-40,40-39
34 39 2 34-32,32-30,30-21,21-41,41-40,40-39
17 37 0 17-16,16-37
17 37 1 17-18,18-37
17 37 2 17-19,19-36,36-37
37 42 0 37-30,30-21,21-41,41-42
37 42 1 37-32,32-2,2-4,4-0,0-1,1-44,44-45,45-42
37 42 2 37-30,30-21,21-26,26-42
42 39 0 42-41,41-40,40-39
42 39 1 42-45,45-44,44-39
42 39 2 42-26,26-41,41-9,9-8,8-1,1-39
23 11 0 23-3,3-29,29-11
23 11 1 23-25,25-6,6-29,29-12,12-11
23 11 2 23-24,24-3,3-29,29-11
45 26 0 45-42,42-26
45 26 1 45-44,44-39,39-40,40-41,41-26
45 26 2 45-46,46-47,47-1,1-8,8-9,9-41,41-21,21-26
10 12 0 10-8,8-1,1-0,0-4,4-5,5-3,3-29,29-12
10 12 1 10-43,43-9,9-41,41-21,21-30,30-36,36-29,29-27,27-12
10 12 2 10-8,8-9,9-41,41-21,21-30,30-32,32-29,29-12
35 28 0 35-34,34-28
35 28 1 35-36,36-29,29-28
35 28 2 35-34,34-29,29-28
25 22 0 25-24,24-22
25 22 1 25-6,6-22
25 22 2 25-23,23-24,24-22
1 13 0 1-0,0-4,4-5,5-3,3-29,29-12,12-13
1 13 1 1-39,39-40,40-41,41-21,21-30,30-36,36-29,29-14,14-13
1 13 2 1-0,0-4,4-2,2-32,32-29,29-12,12-13
39 24 0 39-1,1-0,0-4,4-5,5-3,3-24
39 24 1 39-40,40-41,41-21,21-30,30-36,36-29,29-3,3-23,23-24
39 24 2 39-1,1-0,0-4,4-2,2-3,3-24
4 14 0 4-2,2-6,6-15,15-14
4 14 1 4-5,5-3,3-29,29-14
4 14 2 4-0,0-1,1-39,39-40,40-41,41-21,21-30,30-36,36-29,29-12,12-13,13-14
29 2 0 29-32,32-2
29 2 1 29-3,3-2
29 2 2 29-6,6-2
19 20 0 19-36,36-30,30-31,31-20
19 20 1 19-17,17-16,16-37,37-32,32-20
19 20 2 19-36,36-37,37-32,32-20
2 36 0 2-32,32-37,37-36
2 36 1 2-6,6-29,29-36
2 36 2 2-33,33-32,32-30,30-36
41 7 0 41-21,21-30,30-32,32-33,33-7
41 7 1 41-40,40-39,39-1,1-0,0-4,4-5,5-3,3-7
41 7 2 41-26,26-21,21-30,30-32,32-33,33-7
22 35 0 22-6,6-29,29-34,34-35
22 35 1 22-24,24-3,3-29,29-36,36-35
22 35 2 22-6,6-29,29-36,36-35
5 41 0 5-2,2-32,32-30,30-21,21-41
5 41 1 5-4,4-0,0-1,1-39,39-40,40-41
5 41 2 5-3,3-2,2-32,32-30,30-21,21-41
9 46 0 9-8,8-1,1-47,47-46
9 46 1 9-41,41-42,42-45,45-46
9 46 2 9-43,43-10,10-44,44-47,47-38,38-46
47 25 0 47-1,1-0,0-4,4-2,2-6,6-25
47 25 1 47-44,44-39,39-40,40-41,41-21,21-30,30-36,36-29,29-3,3-24,24-25
47 25 2 47-44,44-1,1-0,0-4,4-2,2-6,6-25
30 35 0 30-36,36-35
30 35 1 30-32,32-34,34-35
30 35 2 30-37,37-36,36-35
17 30 0 17-16,16-37,37-30
17 30 1 17-19,19-36,36-30
17 30 2 17-18,18-37,37-32,32-30
42 46 0 42-45,45-46
42 46 1 42-41,41-40,40-39,39-44,44-47,47-46
42 46 2 42-26,26-41,41-9,9-8,8-1,1-47,47-38,38-46
23 0 0 23-3,3-5,5-4,4-0
23 0 1 23-25,25-6,6-29,29-36,36-30,30-21,21-41,41-40,40-39,39-1,1-0
23 0 2 23-3,3-2,2-4,4-0
45 19 0 45-42,42-41,41-21,21-30,30-36,36-19
45 19 1 45-44,44-1,1-0,0-4,4-2,2-32,32-37,37-18,18-17,17-19
45 19 2 45-42,42-26,26-21,21-30,30-36,36-19
32 8 0 32-2,2-4,4-0,0-1,1-8
32 8 1 32-30,30-21,21-41,41-9,9-8
32 8 2 32-2,2-5,5-4,4-0,0-1,1-8
13 42 0 13-12,12-29,29-36,36-30,30-21,21-41,41-42
13 42 1 13-14,14-29,29-32,32-2,2-4,4-0,0-1,1-44,44-45,45-42
13 42 2 13-12,12-29,29-32,32-30,30-21,21-41,41-42
35 5 0 35-34,34-32,32-2,2-5
35 5 1 35-36,36-29,29-3,3-5
35 5 2 35-34,34-29,29-3,3-5
25 31 0 25-6,6-29,29-36,36-30,30-31
25 31 1 25-23,23-3,3-2,2-32,32-20,20-31
25 31 2 25-6,6-2,2-32,32-20,20-31
11 28 0 11-12,12-28
11 28 1 11-29,29-28
11 28 2 11-12,12-29,29-28
1 6 0 1-0,0-4,4-2,2-6
1 6 1 1-39,39-40,40-41,41-21,21-30,30-36,36-29,29-6
1 6 2 1-0,0-4,4-5,5-2,2-6
39 17 0 39-40,40-41,41-21,21-30,30-36,36-19,19-17
39 17 1 39-1,1-0,0-4,4-2,2-32,32-37,37-18,18-17
39 17 2 39-40,40-41,41-21,21-30,30-37,37-16,16-17
26 6 0 26-21,21-30,30-36,36-29,29-6
26 6 1 26-41,41-40,40-39,39-1,1-0,0-4,4-2,2-6
26 6 2 26-21,21-30,30-32,32-2,2-6
29 27 0 29-27
29 27 1 29-12,12-27
29 27 2 29-11,11-12,12-27
19 29 0 19-36,36-29
19 29 1 19-17,17-16,16-37,37-32,32-29
19 29 2 19-36,36-35,35-34,34-29
41 8 0 41-9,9-8
41 8 1 41-40,40-39,39-1,1-8
41 8 2 41-42,42-45,45-44,44-10,10-8
5 18 0 5-2,2-32,32-37,37-18
5 18 1 5-3,3-29,29-36,36-19,19-17,17-18
5 18 2 5-3,3-2,2-32,32-37,37-18
27 45 0 27-29,29-36,36-30,30-21,21-41,41-42,42-45
27 45 1 27-12,12-29,29-32,32-2,2-4,4-0,0-1,1-44,44-45
27 45 2 27-29,29-32,32-30,30-21,21-41,41-42,42-45
47 38 0 47-38
47 38 1 47-46,46-38
47 38 2 47-44,44-45,45-46,46-38
30 42 0 30-21,21-41,41-42
30 42 1 30-32,32-2,2-4,4-0,0-1,1-44,44-45,45-42
30 42 2 30-21,21-26,26-42
17 23 0 17-19,19-36,36-29,29-3,3-23
17 23 1 17-16,16-37,37-32,32-2,2-3,3-24,24-23
17 23 2 17-18,18-37,37-30,30-32,32-29,29-6,6-25,25-23
20 4 0 20-32,32-2,2-4
20 4 1 20-31,31-30,30-36,36-29,29-3,3-5,5-4
20 4 2 20-32,32-33,33-2,2-4
42 41 0 42-41
42 41 1 42-26,26-41
42 41 2 42-45,45-44,44-39,39-40,40-41
23 25 0 23-25
23 25 1 23-24,24-25
23 25 2 23-3,3-6,6-25
45 12 0 45-42,42-41,41-21,21-30,30-36,36-29,29-12
45 12 1 45-44,44-1,1-0,0-4,4-5,5-3,3-29,29-11,11-12
45 12 2 45-42,42-41,41-21,21-30,30-32,32-29,29-12
32 15 0 32-29,29-15
32 15 1 32-2,2-6,6-15
32 15 2 32-34,34-29,29-14,14-15
13 35 0 13-12,12-28,28-34,34-35
13 35 1 13-14,14-29,29-36,36-35
13 35 2 13-14,14-29,29-34,34-35
35 10 0 35-36,36-30,30-21,21-41,41-9,9-8,8-10
35 10 1 35-34,34-32,32-2,2-4,4-0,0-1,1-44,44-10
35 10 2 35-36,36-30,30-21,21-41,41-9,9-43,43-10
18 46 0 18-37,37-30,30-21,21-41,41-42,42-45,45-46
18 46 1 18-17,17-16,16-37,37-32,32-2,2-4,4-0,0-1,1-47,47-46
18 46 2 18-37,37-30,30-21,21-26,26-42,42-45,45-46
11 21 0 11-29,29-36,36-30,30-21
11 21 1 11-12,12-29,29-32,32-2,2-4,4-0,0-1,1-39,39-40,40-41,41-21
11 21 2 11-29,29-32,32-30,30-21
14 2 0 14-29,29-32,32-2
14 2 1 14-15,15-6,6-2
14 2 2 14-13,13-12,12-29,29-3,3-2
1 31 0 1-0,0-4,4-2,2-32,32-20,20-31
1 31 1 1-39,39-40,40-41,41-21,21-30,30-31
1 31 2 1-8,8-9,9-41,41-21,21-30,30-31
39 14 0 39-40,40-41,41-21,21-30,30-36,36-29,29-14
39 14 1 39-1,1-0,0-4,4-2,2-6,6-15,15-14
39 14 2 39-40,40-41,41-21,21-30,30-32,32-29,29-14
26 1 0 26-41,41-40,40-39,39-1
26 1 1 26-42,42-45,45-44,44-1
26 1 2 26-21,21-41,41-9,9-8,8-1
29 20 0 29-32,32-20
29 20 1 29-36,36-30,30-31,31-20
29 20 2 29-34,34-32,32-20
15 33 0 15-29,29-32,32-33
15 33 1 15-6,6-2,2-33
15 33 2 15-14,14-29,29-3,3-7,7-33
19 34 0 19-36,36-35,35-34
19 34 1 19-17,17-16,16-37,37-32,32-34
19 34 2 19-36,36-29,29-34
5 27 0 5-3,3-29,29-27
5 27 1 5-2,2-6,6-29,29-12,12-27
5 27 2 5-2,2-32,32-29,29-27
27 34 0 27-29,29-34
27 34 1 27-12,12-28,28-34
27 34 2 27-29,29-32,32-34
30 45 0 30-21,21-41,41-42,42-45
30 45 1 30-32,32-2,2-4,4-0,0-1,1-44,44-45
30 45 2 30-21,21-26,26-42,42-45
