s t k edges
17 6 2 17-12,12-11,11-10,10-19,19-13,13-2,2-3,3-0,0-7,7-6
7 15 0 7-6,6-25,25-29,29-4,4-15
7 15 1 7-0,0-3,3-2,2-13,13-19,19-14,14-15
7 15 2 7-6,6-25,25-26,26-27,27-28,28-29,29-4,4-15
20 21 0 20-13,13-2,2-22,22-21
20 21 1 20-18,18-17,17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-5,5-16,16-9,9-8,8-30,30-21
20 21 2 20-18,18-17,17-12,12-11,11-10,10-19,19-13,13-2,2-22,22-21
18 5 0 18-17,17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-5
18 5 1 18-20,20-13,13-2,2-22,22-21,21-30,30-8,8-9,9-16,16-5
18 5 2 18-20,20-13,13-19,19-14,14-15,15-4,4-5
16 29 0 16-5,5-4,4-29
16 29 1 16-9,9-8,8-30,30-21,21-22,22-2,2-3,3-0,0-7,7-6,6-25,25-29
16 29 2 16-9,9-8,8-30,30-21,21-22,22-2,2-13,13-19,19-14,14-15,15-4,4-29
21 8 0 21-30,30-8
21 8 1 21-22,22-2,2-13,13-19,19-14,14-15,15-4,4-5,5-16,16-9,9-8
21 8 2 21-22,22-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-5,5-16,16-9,9-8
17 24 0 17-18,18-20,20-13,13-2,2-3,3-0,0-1,1-23,23-24
17 24 1 17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-25,25-24
17 24 2 17-18,18-20,20-13,13-19,19-14,14-15,15-4,4-29,29-25,25-24
22 7 0 22-2,2-3,3-0,0-7
22 7 1 22-21,21-30,30-8,8-9,9-16,16-5,5-4,4-29,29-25,25-6,6-7
22 7 2 22-2,2-3,3-0,0-1,1-23,23-24,24-25,25-6,6-7
23 6 0 23-24,24-25,25-6
23 6 1 23-1,1-0,0-7,7-6
23 6 2 23-1,1-0,0-3,3-2,2-13,13-19,19-14,14-15,15-4,4-29,29-25,25-6
10 9 0 10-19,19-14,14-15,15-4,4-5,5-16,16-9
10 9 1 10-11,11-12,12-17,17-18,18-20,20-13,13-2,2-22,22-21,21-30,30-8,8-9
10 9 2 10-19,19-13,13-2,2-22,22-21,21-30,30-8,8-9
8 25 0 8-9,9-16,16-5,5-4,4-29,29-25
8 25 1 8-30,30-21,21-22,22-2,2-3,3-0,0-7,7-6,6-25
8 25 2 8-9,9-16,16-5,5-4,4-29,29-28,28-27,27-26,26-25
11 4 0 11-10,10-19,19-14,14-15,15-4
11 4 1 11-12,12-17,17-18,18-20,20-13,13-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4
11 4 2 11-12,12-17,17-18,18-20,20-13,13-19,19-14,14-15,15-4
9 20 0 9-8,8-30,30-21,21-22,22-2,2-13,13-20
9 20 1 9-16,16-5,5-4,4-15,15-14,14-19,19-10,10-11,11-12,12-17,17-18,18-20
9 20 2 9-16,16-5,5-4,4-15,15-14,14-19,19-13,13-20
24 28 0 24-25,25-29,29-28
24 28 1 24-23,23-1,1-0,0-7,7-6,6-25,25-26,26-27,27-28
24 28 2 24-25,25-26,26-27,27-28
14 19 0 14-19
14 19 1 14-15,15-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-19
14 19 2 14-15,15-4,4-5,5-16,16-9,9-8,8-30,30-21,21-22,22-2,2-13,13-19
12 7 0 12-17,17-18,18-20,20-13,13-2,2-3,3-0,0-7
12 7 1 12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-25,25-6,6-7
12 7 2 12-11,11-10,10-19,19-13,13-2,2-3,3-0,0-7
10 19 0 10-19
10 19 1 10-11,11-12,12-17,17-18,18-20,20-13,13-19
10 19 2 10-11,11-12,12-17,17-18,18-20,20-13,13-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14,14-19
15 10 0 15-14,14-19,19-10
15 10 1 15-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-20,20-18,18-17,17-12,12-11,11-10
15 10 2 15-14,14-19,19-13,13-20,20-18,18-17,17-12,12-11,11-10
13 6 0 13-2,2-3,3-0,0-7,7-6
13 6 1 13-19,19-14,14-15,15-4,4-29,29-25,25-6
13 6 2 13-2,2-3,3-0,0-1,1-23,23-24,24-25,25-6
11 26 0 11-10,10-19,19-14,14-15,15-4,4-29,29-28,28-27,27-26
11 26 1 11-12,12-17,17-18,18-20,20-13,13-2,2-3,3-0,0-7,7-6,6-25,25-26
11 26 2 11-10,10-19,19-14,14-15,15-4,4-29,29-25,25-26
26 30 0 26-25,25-6,6-7,7-0,0-3,3-2,2-22,22-21,21-30
26 30 1 26-27,27-28,28-29,29-4,4-5,5-16,16-9,9-8,8-30
26 30 2 26-25,25-29,29-4,4-5,5-16,16-9,9-8,8-30
0 5 0 0-7,7-6,6-25,25-29,29-4,4-5
0 5 1 0-3,3-2,2-22,22-21,21-30,30-8,8-9,9-16,16-5
0 5 2 0-1,1-23,23-24,24-25,25-29,29-4,4-5
24 2 0 24-23,23-1,1-0,0-3,3-2
24 2 1 24-25,25-29,29-4,4-15,15-14,14-19,19-13,13-2
24 2 2 24-25,25-6,6-7,7-0,0-3,3-2
12 29 0 12-11,11-10,10-19,19-14,14-15,15-4,4-29
12 29 1 12-17,17-18,18-20,20-13,13-2,2-3,3-0,0-7,7-6,6-25,25-29
12 29 2 12-17,17-18,18-20,20-13,13-19,19-14,14-15,15-4,4-29
1 0 0 1-0
1 0 1 1-23,23-24,24-25,25-6,6-7,7-0
1 0 2 1-23,23-24,24-25,25-29,29-4,4-15,15-14,14-19,19-13,13-2,2-3,3-0
25 3 0 25-6,6-7,7-0,0-3
25 3 1 25-29,29-4,4-15,15-14,14-19,19-13,13-2,2-3
25 3 2 25-24,24-23,23-1,1-0,0-3
4 11 0 4-15,15-14,14-19,19-10,10-11
4 11 1 4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-20,20-18,18-17,17-12,12-11
4 11 2 4-15,15-14,14-19,19-13,13-20,20-18,18-17,17-12,12-11
28 24 0 28-29,29-25,25-24
28 24 1 28-27,27-26,26-25,25-6,6-7,7-0,0-1,1-23,23-24
28 24 2 28-27,27-26,26-25,25-24
2 7 0 2-3,3-0,0-7
2 7 1 2-13,13-19,19-14,14-15,15-4,4-29,29-25,25-6,6-7
2 7 2 2-3,3-0,0-1,1-23,23-24,24-25,25-6,6-7
5 10 0 5-4,4-15,15-14,14-19,19-10
5 10 1 5-16,16-9,9-8,8-30,30-21,21-22,22-2,2-13,13-20,20-18,18-17,17-12,12-11,11-10
5 10 2 5-16,16-9,9-8,8-30,30-21,21-22,22-2,2-13,13-19,19-10
3 22 0 3-2,2-22
3 22 1 3-0,0-7,7-6,6-25,25-29,29-4,4-5,5-16,16-9,9-8,8-30,30-21,21-22
3 22 2 3-0,0-7,7-6,6-25,25-29,29-4,4-15,15-14,14-19,19-13,13-2,2-22
6 1 0 6-7,7-0,0-1
6 1 1 6-25,25-24,24-23,23-1
6 1 2 6-25,25-29,29-4,4-15,15-14,14-19,19-13,13-2,2-3,3-0,0-1
30 2 0 30-21,21-22,22-2
30 2 1 30-8,8-9,9-16,16-5,5-4,4-15,15-14,14-19,19-13,13-2
30 2 2 30-8,8-9,9-16,16-5,5-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2
4 17 0 4-15,15-14,14-19,19-10,10-11,11-12,12-17
4 17 1 4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-20,20-18,18-17
4 17 2 4-15,15-14,14-19,19-13,13-20,20-18,18-17
19 27 0 19-14,14-15,15-4,4-29,29-28,28-27
19 27 1 19-13,13-2,2-3,3-0,0-7,7-6,6-25,25-26,26-27
19 27 2 19-14,14-15,15-4,4-29,29-25,25-26,26-27
7 4 0 7-6,6-25,25-29,29-4
7 4 1 7-0,0-3,3-2,2-13,13-19,19-14,14-15,15-4
7 4 2 7-0,0-1,1-23,23-24,24-25,25-29,29-4
5 20 0 5-16,16-9,9-8,8-30,30-21,21-22,22-2,2-13,13-20
5 20 1 5-4,4-15,15-14,14-19,19-10,10-11,11-12,12-17,17-18,18-20
5 20 2 5-4,4-15,15-14,14-19,19-13,13-20
20 28 0 20-13,13-2,2-3,3-0,0-7,7-6,6-25,25-26,26-27,27-28
20 28 1 20-18,18-17,17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-29,29-28
20 28 2 20-13,13-19,19-14,14-15,15-4,4-29,29-28
16 20 0 16-9,9-8,8-30,30-21,21-22,22-2,2-13,13-20
16 20 1 16-5,5-4,4-15,15-14,14-19,19-10,10-11,11-12,12-17,17-18,18-20
16 20 2 16-5,5-4,4-15,15-14,14-19,19-13,13-20
6 27 0 6-25,25-26,26-27
6 27 1 6-7,7-0,0-1,1-23,23-24,24-25,25-29,29-28,28-27
6 27 2 6-25,25-29,29-28,28-27
21 17 0 21-22,22-2,2-13,13-20,20-18,18-17
21 17 1 21-30,30-8,8-9,9-16,16-5,5-4,4-15,15-14,14-19,19-10,10-11,11-12,12-17
21 17 2 21-22,22-2,2-13,13-19,19-10,10-11,11-12,12-17
19 1 0 19-13,13-2,2-3,3-0,0-1
19 1 1 19-14,14-15,15-4,4-29,29-25,25-24,24-23,23-1
19 1 2 19-14,14-15,15-4,4-29,29-25,25-6,6-7,7-0,0-1
22 30 0 22-21,21-30
22 30 1 22-2,2-13,13-19,19-14,14-15,15-4,4-5,5-16,16-9,9-8,8-30
22 30 2 22-2,2-3,3-0,0-7,7-6,6-25,25-29,29-4,4-5,5-16,16-9,9-8,8-30
18 22 0 18-20,20-13,13-2,2-22
18 22 1 18-17,17-12,12-11,11-10,10-19,19-14,14-15,15-4,4-5,5-16,16-9,9-8,8-30,30-21,21-22
18 22 2 18-17,17-12,12-11,11-10,10-19,19-13,13-2,2-22
8 0 0 8-30,30-21,21-22,22-2,2-3,3-0
8 0 1 8-9,9-16,16-5,5-4,4-29,29-25,25-6,6-7,7-0
8 0 2 8-9,9-16,16-5,5-4,4-29,29-25,25-24,24-23,23-1,1-0
9 29 0 9-16,16-5,5-4,4-29
9 29 1 9-8,8-30,30-21,21-22,22-2,2-3,3-0,0-7,7-6,6-25,25-29
9 29 2 9-8,8-30,30-21,21-22,22-2,2-13,13-19,19-14,14-15,15-4,4-29
14 26 0 14-15,15-4,4-29,29-28,28-27,27-26
14 26 1 14-19,19-13,13-2,2-3,3-0,0-7,7-6,6-25,25-26
14 26 2 14-15,15-4,4-29,29-25,25-26
10 26 0 10-19,19-14,14-15,15-4,4-29,29-28,28-27,27-26
10 26 1 10-11,11-12,12-17,17-18,18-20,20-13,13-2,2-3,3-0,0-7,7-6,6-25,25-26
10 26 2 10-19,19-14,14-15,15-4,4-29,29-25,25-26
15 19 0 15-14,14-19
15 19 1 15-4,4-29,29-25,25-6,6-7,7-0,0-3,3-2,2-13,13-19
15 19 2 15-4,4-5,5-16,16-9,9-8,8-30,30-21,21-22,22-2,2-13,13-19
11 19 0 11-10,10-19
11 19 1 11-12,12-17,17-18,18-20,20-13,13-19
