s t k edges
11 15 2 11-10,10-25,25-8,8-4,4-15
35 26 0 35-26
35 26 1 35-27,27-26
35 26 2 35-34,34-32,32-33,33-27,27-26
9 19 0 9-28,28-2,2-19
9 19 1 9-25,25-18,18-20,20-19
9 19 2 9-8,8-1,1-2,2-19
24 21 0 24-25,25-8,8-21
24 21 1 24-13,13-27,27-2,2-21
24 21 2 24-23,23-16,16-17,17-7,7-21
14 8 0 14-10,10-25,25-8
14 8 1 14-16,16-17,17-28,28-8
14 8 2 14-10,10-13,13-25,25-8
12 8 0 12-10,10-25,25-8
12 8 1 12-11,11-13,13-28,28-8
12 8 2 12-11,11-17,17-28,28-8
1 21 0 1-8,8-21
1 21 1 1-2,2-21
1 21 2 1-6,6-7,7-21
25 16 0 25-13,13-16
25 16 1 25-23,23-16
25 16 2 25-10,10-14,14-16
15 13 0 15-28,28-13
15 13 1 15-29,29-1,1-22,22-13
15 13 2 15-7,7-17,17-10,10-13
2 18 0 2-27,27-18
2 18 1 2-28,28-25,25-18
2 18 2 2-21,21-20,20-18
26 23 0 26-27,27-13,13-23
26 23 1 26-35,35-27,27-22,22-23
26 23 2 26-27,27-22,22-23
0 14 0 0-2,2-27,27-10,10-14
0 14 1 0-1,1-22,22-23,23-16,16-14
0 14 2 0-1,1-2,2-27,27-10,10-14
3 11 0 3-27,27-10,10-11
3 11 1 3-2,2-28,28-13,13-11
3 11 2 3-27,27-17,17-11
27 6 0 27-17,17-7,7-6
27 6 1 27-2,2-1,1-6
27 6 2 27-22,22-1,1-6
1 15 0 1-28,28-15
1 15 1 1-29,29-15
1 15 2 1-6,6-7,7-15
4 12 0 4-8,8-25,25-10,10-12
4 12 1 4-15,15-28,28-13,13-11,11-12
4 12 2 4-15,15-28,28-13,13-10,10-12
28 1 0 28-1
28 1 1 28-8,8-1
28 1 2 28-2,2-1
2 12 0 2-27,27-10,10-12
2 12 1 2-28,28-13,13-11,11-12
2 12 2 2-3,3-27,27-10,10-12
24 33 0 24-13,13-27,27-33
24 33 1 24-23,23-22,22-33
24 33 2 24-25,25-18,18-27,27-35,35-34,34-32,32-33
5 1 0 5-4,4-8,8-1
5 1 1 5-15,15-29,29-1
5 1 2 5-15,15-28,28-1
29 4 0 29-15,15-4
29 4 1 29-1,1-8,8-4
29 4 2 29-15,15-5,5-4
3 17 0 3-27,27-17
3 17 1 3-2,2-28,28-17
3 17 2 3-2,2-27,27-17
1 33 0 1-22,22-33
1 33 1 1-2,2-27,27-33
1 33 2 1-28,28-17,17-27,27-35,35-34,34-32,32-33
16 7 0 16-17,17-7
16 7 1 16-13,13-28,28-15,15-7
16 7 2 16-23,23-22,22-1,1-6,6-7
6 14 0 6-7,7-17,17-10,10-14
6 14 1 6-1,1-22,22-23,23-16,16-14
6 14 2 6-7,7-17,17-16,16-14
30 27 0 30-7,7-17,17-27
30 27 1 30-31,31-1,1-2,2-27
30 27 2 30-7,7-21,21-2,2-27
19 18 0 19-20,20-18
19 18 1 19-2,2-27,27-18
19 18 2 19-2,2-28,28-25,25-18
29 10 0 29-1,1-2,2-27,27-10
29 10 1 29-15,15-7,7-17,17-10
29 10 2 29-1,1-22,22-13,13-10
17 6 0 17-7,7-6
17 6 1 17-22,22-1,1-6
17 6 2 17-28,28-1,1-6
7 15 0 7-15
7 15 1 7-17,17-28,28-15
7 15 2 7-6,6-1,1-29,29-15
31 18 0 31-1,1-8,8-25,25-18
31 18 1 31-30,30-7,7-21,21-20,20-18
31 18 2 31-1,1-28,28-25,25-18
20 21 0 20-21
20 21 1 20-19,19-2,2-21
20 21 2 20-18,18-25,25-8,8-21
18 5 0 18-25,25-28,28-15,15-5
18 5 1 18-20,20-21,21-8,8-4,4-5
18 5 2 18-25,25-8,8-4,4-5
16 29 0 16-17,17-22,22-1,1-29
16 29 1 16-13,13-28,28-15,15-29
16 29 2 16-17,17-7,7-15,15-29
6 32 0 6-1,1-22,22-33,33-32
6 32 1 6-7,7-17,17-27,27-35,35-34,34-32
6 32 2 6-7,7-17,17-27,27-33,33-32
21 8 0 21-8
21 8 1 21-2,2-1,1-8
21 8 2 21-7,7-15,15-28,28-8
34 32 0 34-32
34 32 1 34-35,35-27,27-33,33-32
34 32 2 34-35,35-26,26-27,27-33,33-32
17 24 0 17-16,16-23,23-24
17 24 1 17-28,28-25,25-24
17 24 2 17-22,22-13,13-24
32 16 0 32-33,33-22,22-13,13-16
32 16 1 32-34,34-35,35-27,27-17,17-16
32 16 2 32-33,33-27,27-13,13-16
22 7 0 22-17,17-7
22 7 1 22-1,1-6,6-7
22 7 2 22-13,13-28,28-15,15-7
28 30 0 28-1,1-31,31-30
28 30 1 28-15,15-7,7-30
28 30 2 28-17,17-7,7-30
30 20 0 30-7,7-21,21-20
30 20 1 30-31,31-1,1-2,2-19,19-20
30 20 2 30-7,7-17,17-27,27-18,18-20
18 31 0 18-25,25-8,8-1,1-31
18 31 1 18-20,20-21,21-7,7-30,30-31
18 31 2 18-27,27-2,2-1,1-31
31 35 0 31-1,1-2,2-27,27-35
31 35 1 31-30,30-7,7-17,17-27,27-26,26-35
31 35 2 31-1,1-22,22-27,27-35
23 6 0 23-22,22-1,1-6
23 6 1 23-16,16-17,17-7,7-6
23 6 2 23-22,22-17,17-7,7-6
10 9 0 10-25,25-9
10 9 1 10-17,17-28,28-9
10 9 2 10-13,13-25,25-8,8-9
34 26 0 34-35,35-26
34 26 1 34-32,32-33,33-27,27-26
34 26 2 34-35,35-27,27-26
8 25 0 8-25
8 25 1 8-9,9-25
8 25 2 8-28,28-25
11 4 0 11-17,17-7,7-15,15-4
11 4 1 11-10,10-25,25-8,8-4
11 4 2 11-13,13-28,28-15,15-5,5-4
35 3 0 35-27,27-3
35 3 1 35-26,26-27,27-2,2-3
35 3 2 35-26,26-27,27-3
9 20 0 9-8,8-21,21-20
9 20 1 9-25,25-18,18-20
9 20 2 9-28,28-2,2-19,19-20
24 28 0 24-13,13-28
24 28 1 24-25,25-28
24 28 2 24-23,23-16,16-17,17-28
14 19 0 14-10,10-27,27-2,2-19
14 19 1 14-16,16-13,13-25,25-18,18-20,20-19
14 19 2 14-16,16-17,17-27,27-2,2-19
12 7 0 12-11,11-17,17-7
12 7 1 12-10,10-25,25-28,28-15,15-7
12 7 2 12-10,10-17,17-7
10 19 0 10-27,27-2,2-19
10 19 1 10-25,25-18,18-20,20-19
10 19 2 10-13,13-27,27-2,2-19
15 10 0 15-28,28-13,13-10
15 10 1 15-7,7-17,17-10
15 10 2 15-4,4-8,8-25,25-10
13 6 0 13-22,22-1,1-6
13 6 1 13-16,16-17,17-7,7-6
13 6 2 13-28,28-1,1-6
11 26 0 11-10,10-27,27-26
11 26 1 11-13,13-27,27-35,35-26
11 26 2 11-13,13-27,27-26
26 30 0 26-27,27-17,17-7,7-30
26 30 1 26-35,35-27,27-2,2-1,1-31,31-30
26 30 2 26-35,35-27,27-17,17-7,7-30
0 5 0 0-1,1-8,8-4,4-5
0 5 1 0-2,2-28,28-15,15-5
0 5 2 0-1,1-28,28-15,15-5
23 34 0 23-13,13-27,27-35,35-34
23 34 1 23-22,22-33,33-32,32-34
23 34 2 23-22,22-27,27-35,35-34
12 29 0 12-10,10-25,25-8,8-1,1-29
12 29 1 12-11,11-13,13-28,28-15,15-29
12 29 2 12-10,10-13,13-22,22-1,1-29
27 31 0 27-2,2-1,1-31
27 31 1 27-17,17-7,7-30,30-31
27 31 2 27-22,22-1,1-31
1 0 0 1-0
1 0 1 1-2,2-0
1 0 2 1-28,28-2,2-0
25 3 0 25-10,10-27,27-3
25 3 1 25-28,28-2,2-3
25 3 2 25-13,13-27,27-3
4 11 0 4-8,8-25,25-10,10-11
4 11 1 4-15,15-28,28-13,13-11
4 11 2 4-5,5-15,15-7,7-17,17-11
28 24 0 28-25,25-24
28 24 1 28-13,13-24
28 24 2 28-17,17-22,22-23,23-24
2 7 0 2-21,21-7
2 7 1 2-1,1-6,6-7
2 7 2 2-28,28-15,15-7
5 10 0 5-4,4-8,8-25,25-10
5 10 1 5-15,15-7,7-17,17-10
5 10 2 5-15,15-28,28-13,13-10
3 22 0 3-27,27-22
3 22 1 3-2,2-1,1-22
3 22 2 3-27,27-33,33-22
29 33 0 29-1,1-22,22-33
29 33 1 29-15,15-28,28-13,13-27,27-33
29 33 2 29-1,1-2,2-27,27-33
6 1 0 6-1
6 1 1 6-7,7-21,21-2,2-1
6 1 2 6-7,7-17,17-22,22-1
30 2 0 30-7,7-21,21-2
30 2 1 30-31,31-1,1-2
30 2 2 30-7,7-17,17-27,27-2
4 17 0 4-15,15-28,28-17
4 17 1 4-8,8-1,1-22,22-17
4 17 2 4-5,5-15,15-7,7-17
19 27 0 19-2,2-27
19 27 1 19-20,20-18,18-27
19 27 2 19-2,2-3,3-27
2 33 0 2-27,27-33
2 33 1 2-1,1-22,22-33
2 33 2 2-3,3-27,27-35,35-34,34-32,32-33
26 34 0 26-35,35-34
26 34 1 26-27,27-33,33-32,32-34
26 34 2 26-27,27-35,35-34
7 4 0 7-15,15-4
7 4 1 7-21,21-8,8-4
7 4 2 7-17,17-28,28-15,15-5,5-4
31 27 0 31-1,1-2,2-27
31 27 1 31-30,30-7,7-17,17-27
31 27 2 31-1,1-22,22-27
5 20 0 5-4,4-8,8-21,21-20
5 20 1 5-15,15-28,28-25,25-18,18-20
5 20 2 5-15,15-7,7-21,21-20
20 28 0 20-18,18-25,25-28
20 28 1 20-19,19-2,2-28
20 28 2 20-21,21-8,8-28
16 20 0 16-17,17-7,7-21,21-20
16 20 1 16-23,23-25,25-18,18-20
16 20 2 16-13,13-27,27-2,2-19,19-20
6 27 0 6-1,1-2,2-27
6 27 1 6-7,7-17,17-27
6 27 2 6-1,1-22,22-27
21 17 0 21-7,7-17
21 17 1 21-8,8-28,28-17
21 17 2 21-2,2-27,27-17
19 1 0 19-2,2-1
19 1 1 19-20,20-21,21-8,8-1
19 1 2 19-2,2-0,0-1
7 34 0 7-17,17-27,27-35,35-34
7 34 1 7-6,6-1,1-22,22-33,33-32,32-34
7 34 2 7-21,21-2,2-27,27-35,35-34
22 30 0 22-17,17-7,7-30
22 30 1 22-1,1-31,31-30
22 30 2 22-27,27-17,17-7,7-30
35 34 0 35-34
35 34 1 35-27,27-33,33-32,32-34
35 34 2 35-26,26-27,27-33,33-32,32-34
18 22 0 18-27,27-22
18 22 1 18-25,25-23,23-22
18 22 2 18-20,20-21,21-2,2-1,1-22
33 22 0 33-22
33 22 1 33-27,27-22
33 22 2 33-32,32-34,34-35,35-27,27-17,17-22
23 31 0 23-22,22-1,1-31
23 31 1 23-16,16-17,17-7,7-30,30-31
23 31 2 23-25,25-8,8-1,1-31
12 32 0 12-10,10-27,27-33,33-32
12 32 1 12-11,11-13,13-27,27-35,35-34,34-32
12 32 2 12-11,11-10,10-27,27-33,33-32
34 21 0 34-35,35-27,27-2,2-21
34 21 1 34-32,32-33,33-22,22-1,1-8,8-21
34 21 2 34-32,32-33,33-27,27-2,2-21
8 0 0 8-1,1-0
8 0 1 8-21,21-2,2-0
8 0 2 8-28,28-1,1-0
32 13 0 32-33,33-22,22-13
32 13 1 32-34,34-35,35-27,27-13
32 13 2 32-33,33-27,27-13
35 8 0 35-27,27-2,2-28,28-8
35 8 1 35-26,26-27,27-18,18-25,25-8
35 8 2 35-34,34-32,32-33,33-22,22-1,1-8
9 29 0 9-8,8-1,1-29
9 29 1 9-28,28-15,15-29
9 29 2 9-28,28-1,1-29
33 8 0 33-22,22-1,1-8
33 8 1 33-27,27-18,18-25,25-8
33 8 2 33-32,32-34,34-35,35-27,27-2,2-28,28-8
14 26 0 14-10,10-27,27-26
14 26 1 14-16,16-17,17-27,27-35,35-26
14 26 2 14-16,16-13,13-27,27-26
10 26 0 10-27,27-26
10 26 1 10-17,17-27,27-35,35-26
10 26 2 10-13,13-27,27-26
34 15 0 34-35,35-27,27-2,2-28,28-15
34 15 1 34-32,32-33,33-22,22-1,1-29,29-15
34 15 2 34-35,35-27,27-13,13-28,28-15
15 19 0 15-28,28-2,2-19
15 19 1 15-7,7-21,21-20,20-19
15 19 2 15-29,29-1,1-2,2-19
11 19 0 11-13,13-27,27-2,2-19
11 19 1 11-10,10-25,25-18,18-20,20-19
11 19 2 11-17,17-27,27-2,2-19
26 25 0 26-27,27-10,10-25
26 25 1 26-35,35-27,27-18,18-25
26 25 2 26-27,27-13,13-25
0 28 0 0-1,1-28
0 28 1 0-2,2-28
0 28 2 0-1,1-2,2-28
24 9 0 24-25,25-9
24 9 1 24-13,13-28,28-9
24 9 2 24-23,23-25,25-8,8-9
12 20 0 12-10,10-25,25-18,18-20
12 20 1 12-11,11-17,17-7,7-21,21-20
12 20 2 12-10,10-27,27-18,18-20
27 20 0 27-18,18-20
27 20 1 27-2,2-19,19-20
27 20 2 27-3,3-2,2-21,21-20
1 25 0 1-8,8-25
1 25 1 1-28,28-25
1 25 2 1-22,22-13,13-25
25 4 0 25-8,8-4
25 4 1 25-28,28-15,15-4
25 4 2 25-10,10-17,17-7,7-15,15-5,5-4
13 25 0 13-25
13 25 1 13-10,10-25
13 25 2 13-28,28-25
28 23 0 28-25,25-23
28 23 1 28-13,13-23
28 23 2 28-17,17-22,22-23
2 30 0 2-1,1-31,31-30
2 30 1 2-21,21-7,7-30
2 30 2 2-0,0-1,1-31,31-30
26 3 0 26-27,27-3
26 3 1 26-35,35-27,27-2,2-3
26 3 2 26-35,35-27,27-3
29 22 0 29-1,1-22
29 22 1 29-15,15-7,7-17,17-22
29 22 2 29-15,15-28,28-1,1-22
3 31 0 3-2,2-1,1-31
3 31 1 3-27,27-17,17-7,7-30,30-31
3 31 2 3-27,27-2,2-1,1-31
27 10 0 27-10
27 10 1 27-17,17-10
27 10 2 27-13,13-10
30 5 0 30-7,7-15,15-5
30 5 1 30-31,31-1,1-8,8-4,4-5
30 5 2 30-7,7-15,15-4,4-5
4 24 0 4-8,8-25,25-24
4 24 1 4-15,15-28,28-13,13-24
4 24 2 4-5,5-15,15-29,29-1,1-22,22-23,23-24
19 32 0 19-2,2-27,27-33,33-32
19 32 1 19-20,20-18,18-27,27-35,35-34,34-32
19 32 2 19-20,20-18,18-27,27-33,33-32
31 0 0 31-1,1-0
31 0 1 31-30,30-7,7-21,21-2,2-0
31 0 2 31-1,1-2,2-0
5 29 0 5-15,15-29
5 29 1 5-4,4-8,8-1,1-29
5 29 2 5-4,4-15,15-29
20 27 0 20-18,18-27
20 27 1 20-19,19-2,2-27
20 27 2 20-21,21-2,2-3,3-27
27 32 0 27-33,33-32
27 32 1 27-35,35-34,34-32
27 32 2 27-22,22-33,33-32
16 11 0 16-11
16 11 1 16-17,17-11
16 11 2 16-13,13-11
6 18 0 6-1,1-8,8-25,25-18
6 18 1 6-7,7-21,21-20,20-18
6 18 2 6-7,7-17,17-27,27-18
21 26 0 21-2,2-27,27-26
21 26 1 21-20,20-18,18-27,27-35,35-26
21 26 2 21-20,20-18,18-27,27-26
19 6 0 19-2,2-1,1-6
19 6 1 19-20,20-21,21-7,7-6
19 6 2 19-2,2-0,0-1,1-6
18 32 0 18-27,27-33,33-32
18 32 1 18-25,25-13,13-27,27-35,35-34,34-32
18 32 2 18-27,27-22,22-33,33-32
8 33 0 8-1,1-22,22-33
8 33 1 8-28,28-13,13-27,27-33
8 33 2 8-21,21-2,2-27,27-35,35-34,34-32,32-33
7 27 0 7-17,17-27
7 27 1 7-21,21-2,2-27
7 27 2 7-15,15-28,28-13,13-27
22 17 0 22-17
22 17 1 22-27,27-17
22 17 2 22-13,13-11,11-17
20 1 0 20-19,19-2,2-1
20 1 1 20-21,21-8,8-1
20 1 2 20-18,18-25,25-28,28-1
18 17 0 18-27,27-17
18 17 1 18-25,25-28,28-17
18 17 2 18-20,20-21,21-7,7-17
16 33 0 16-17,17-27,27-33
16 33 1 16-23,23-22,22-33
16 33 2 16-13,13-27,27-35,35-34,34-32,32-33
21 4 0 21-8,8-4
21 4 1 21-7,7-15,15-4
21 4 2 21-2,2-28,28-15,15-5,5-4
8 7 0 8-21,21-7
8 7 1 8-1,1-6,6-7
8 7 2 8-4,4-15,15-7
32 4 0 32-33,33-22,22-1,1-8,8-4
32 4 1 32-34,34-35,35-27,27-2,2-28,28-15,15-4
32 4 2 32-33,33-27,27-2,2-1,1-8,8-4
22 11 0 22-17,17-11
22 11 1 22-13,13-11
22 11 2 22-27,27-10,10-11
30 22 0 30-7,7-17,17-22
30 22 1 30-31,31-1,1-22
30 22 2 30-7,7-6,6-1,1-22
9 6 0 9-8,8-1,1-6
9 6 1 9-28,28-15,15-7,7-6
9 6 2 9-28,28-1,1-6
33 1 0 33-22,22-1
33 1 1 33-27,27-2,2-1
33 1 2 33-32,32-34,34-35,35-27,27-17,17-28,28-1
14 29 0 14-16,16-17,17-28,28-15,15-29
14 29 1 14-10,10-27,27-2,2-1,1-29
14 29 2 14-16,16-17,17-7,7-15,15-29
10 5 0 10-17,17-7,7-15,15-5
10 5 1 10-25,25-8,8-4,4-5
10 5 2 10-13,13-28,28-15,15-5
34 6 0 34-32,32-33,33-22,22-1,1-6
34 6 1 34-35,35-27,27-17,17-7,7-6
34 6 2 34-35,35-27,27-2,2-1,1-6
15 24 0 15-28,28-13,13-24
15 24 1 15-4,4-8,8-25,25-24
15 24 2 15-29,29-1,1-22,22-23,23-24
28 34 0 28-17,17-27,27-35,35-34
28 34 1 28-1,1-22,22-33,33-32,32-34
28 34 2 28-2,2-27,27-35,35-34
11 8 0 11-10,10-25,25-8
11 8 1 11-13,13-28,28-8
11 8 2 11-17,17-22,22-1,1-8
35 23 0 35-27,27-13,13-23
35 23 1 35-34,34-32,32-33,33-22,22-23
35 23 2 35-26,26-27,27-18,18-25,25-23
0 19 0 0-2,2-19
0 19 1 0-1,1-8,8-21,21-20,20-19
0 19 2 0-1,1-2,2-19
24 16 0 24-13,13-16
24 16 1 24-23,23-16
24 16 2 24-25,25-10,10-14,14-16
14 7 0 14-16,16-17,17-7
14 7 1 14-10,10-17,17-28,28-15,15-7
14 7 2 14-10,10-17,17-7
12 19 0 12-10,10-27,27-2,2-19
12 19 1 12-11,11-10,10-25,25-18,18-20,20-19
12 19 2 12-11,11-17,17-27,27-2,2-19
1 18 0 1-2,2-27,27-18
1 18 1 1-28,28-25,25-18
1 18 2 1-8,8-21,21-20,20-18
25 13 0 25-13
25 13 1 25-24,24-13
25 13 2 25-23,23-13
15 6 0 15-7,7-6
15 6 1 15-29,29-1,1-6
15 6 2 15-28,28-1,1-6
13 18 0 13-25,25-18
13 18 1 13-27,27-18
13 18 2 13-28,28-8,8-21,21-20,20-18
2 25 0 2-28,28-25
2 25 1 2-1,1-8,8-25
2 25 2 2-27,27-18,18-25
26 10 0 26-27,27-10
26 10 1 26-35,35-27,27-17,17-10
26 10 2 26-35,35-27,27-10
0 9 0 0-1,1-8,8-9
0 9 1 0-2,2-28,28-9
