3 5 0 3-6,6-5 no
2 7 0 2-5,5-7 no
8 3 0 8-9,9-7,7-3 no
5 10 0 5-6,6-10 no
4 6 0 4-5,5-6 no
9 2 0 9-7,7-5,5-2 no
6 1 0 6-7,7-3,3-2,2-0,0-1 no
5 7 0 5-7 no
5 7 1 5-6,6-7 5-7
11 3 0 11-9,9-7,7-3 no
7 4 0 7-5,5-4 no
0 2 0 0-2 no
0 2 1 0-1,1-4,4-3,3-2 0-2
1 3 0 1-4,4-3 no
4 8 0 4-5,5-6,6-10,10-8 no
3 0 0 3-2,2-0 no
2 8 0 2-5,5-6,6-10,10-8 no
9 8 0 9-8 no
9 8 1 9-11,11-10,10-8 9-8
8 0 0 8-9,9-7,7-5,5-2,2-0 no
6 2 0 6-7,7-3,3-2 no
7 11 0 7-9,9-11 no
3 10 0 3-6,6-10 no
8 10 0 8-10 no
8 10 1 8-9,9-11,11-10 8-10
9 11 0 9-11 no
9 11 1 9-8,8-10,10-11 9-11
5 0 0 5-2,2-0 no
10 0 0 10-6,6-3,3-2,2-0 no
1 4 0 1-4 no
1 4 1 1-0,0-2,2-5,5-4 1-4
3 9 0 3-7,7-9 no
2 3 0 2-3 no
2 3 1 2-0,0-1,1-4,4-3 2-3
1 9 0 1-4,4-3,3-7,7-9 no
8 7 0 8-9,9-7 no
4 2 0 4-5,5-2 no
9 6 0 9-7,7-6 no
6 5 0 6-7,7-5 no
6 5 1 6-3,3-2,2-5 6-5
5 3 0 5-6,6-3 no
11 7 0 11-9,9-7 no
10 5 0 10-6,6-5 no
7 0 0 7-5,5-2,2-0 no
6 8 0 6-10,10-8 no
11 8 0 11-9,9-8 no
0 6 0 0-2,2-5,5-6 no
1 7 0 1-4,4-5,5-7 no
0 9 0 0-2,2-5,5-7,7-9 no
3 4 0 3-4 no
3 4 1 3-2,2-0,0-1,1-4 3-4
2 4 0 2-5,5-4 no
8 4 0 8-9,9-7,7-3,3-4 no
5 9 0 5-7,7-9 no
4 7 0 4-5,5-7 no
10 11 0 10-11 no
10 11 1 10-8,8-9,9-11 10-11
9 1 0 9-7,7-5,5-4,4-1 no
5 6 0 5-6 no
5 6 1 5-7,7-6 5-6
11 2 0 11-9,9-7,7-3,3-2 no
10 6 0 10-6 no
10 6 1 10-11,11-9,9-7,7-6 10-6
0 3 0 0-2,2-3 no
1 2 0 1-4,4-5,5-2 no
4 9 0 4-5,5-7,7-9 no
2 9 0 2-5,5-7,7-9 no
8 1 0 8-9,9-7,7-5,5-4,4-1 no
6 3 0 6-7,7-3 no
6 3 1 6-5,5-4,4-3 6-3
11 1 0 11-10,10-6,6-5,5-4,4-1 no
7 10 0 7-9,9-10 no
8 11 0 8-9,9-11 no
2 10 0 2-5,5-6,6-10 no
9 10 0 9-10 no
9 10 1 9-8,8-10 9-10
10 1 0 10-6,6-5,5-4,4-1 no
7 9 0 7-9 no
7 9 1 7-6,6-10,10-8,8-9 7-9
3 8 0 3-6,6-7,7-9,9-8 no
2 0 0 2-0 no
2 0 1 2-5,5-4,4-1,1-0 2-0
1 8 0 1-4,4-5,5-6,6-10,10-8 no
4 3 0 4-3 no
4 3 1 4-1,1-0,0-2,2-3 4-3
9 5 0 9-7,7-5 no
5 2 0 5-2 no
5 2 1 5-4,4-1,1-0,0-2 5-2
11 6 0 11-10,10-6 no
10 2 0 10-6,6-5,5-2 no
