s t k edges
28 10 2 28-25,25-94,94-91,91-96,96-22,22-19,19-23,23-24,24-21,21-0,0-6,6-58,58-59,59-100,100-10
85 87 0 85-76,76-77,77-61,61-67,67-65,65-106,106-104,104-80,80-81,81-87
85 87 1 85-74,74-75,75-72,72-17,17-73,73-70,70-71,71-44,44-45,45-98,98-54,54-113,113-66,66-99,99-67,67-101,101-102,102-103,103-1,1-64,64-63,63-106,106-107,107-108,108-109,109-110,110-87
85 87 2 85-76,76-77,77-61,61-67,67-65,65-106,106-107,107-108,108-109,109-110,110-87
32 77 0 32-16,16-58,58-59,59-100,100-102,102-101,101-67,67-61,61-77
32 77 1 32-20,20-31,31-38,38-37,37-40,40-39,39-34,34-33,33-36,36-35,35-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44,44-71,71-70,70-73,73-18,18-72,72-75,75-74,74-85,85-76,76-77
32 77 2 32-16,16-58,58-59,59-100,100-10,10-13,13-12,12-101,101-67,67-61,61-77
14 77 0 14-35,35-36,36-33,33-34,34-39,39-40,40-105,105-58,58-59,59-100,100-102,102-101,101-67,67-61,61-77
14 77 1 14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44,44-71,71-70,70-73,73-18,18-72,72-75,75-74,74-85,85-76,76-77
14 77 2 14-9,9-15,15-53,53-113,113-66,66-99,99-67,67-61,61-77
71 100 0 71-44,44-45,45-98,98-54,54-113,113-66,66-99,99-67,67-101,101-102,102-100
71 100 1 71-70,70-73,73-18,18-72,72-75,75-74,74-85,85-76,76-77,77-61,61-67,67-65,65-106,106-63,63-64,64-1,1-103,103-11,11-100
71 100 2 71-44,44-45,45-98,98-47,47-46,46-69,69-99,99-67,67-101,101-102,102-100
18 112 0 18-48,48-41,41-84,84-112
18 112 1 18-73,73-70,70-71,71-44,44-112
18 112 2 18-72,72-17,17-48,48-41,41-84,84-112
75 97 0 75-74,74-85,85-76,76-77,77-61,61-67,67-65,65-106,106-104,104-80,80-81,81-87,87-57,57-60,60-78,78-22,22-96,96-97
75 97 1 75-72,72-17,17-73,73-70,70-71,71-44,44-45,45-98,98-54,54-113,113-53,53-15,15-9,9-14,14-8,8-7,7-52,52-83,83-5,5-91,91-94,94-25,25-95,95-97
75 97 2 75-74,74-85,85-76,76-77,77-61,61-67,67-65,65-106,106-107,107-108,108-109,109-82,82-79,79-24,24-23,23-19,19-22,22-96,96-97
4 35 0 4-3,3-2,2-90,90-94,94-91,91-5,5-83,83-52,52-7,7-8,8-14,14-35
4 35 1 4-93,93-30,30-29,29-25,25-95,95-97,97-96,96-22,22-19,19-23,23-24,24-21,21-0,0-6,6-58,58-105,105-40,40-39,39-34,34-33,33-36,36-35
4 35 2 4-93,93-30,30-29,29-25,25-94,94-91,91-5,5-83,83-52,52-7,7-8,8-14,14-35
8 38 0 8-14,14-35,35-36,36-33,33-34,34-39,39-40,40-37,37-38
8 38 1 8-7,7-52,52-83,83-5,5-91,91-96,96-22,22-19,19-23,23-24,24-21,21-0,0-6,6-58,58-16,16-32,32-20,20-31,31-38
8 38 2 8-14,14-35,35-36,36-33,33-34,34-39,39-40,40-105,105-58,58-16,16-32,32-20,20-31,31-38
65 11 0 65-67,67-101,101-102,102-100,100-11
65 11 1 65-106,106-63,63-64,64-1,1-103,103-11
65 11 2 65-67,67-101,101-102,102-103,103-11
85 56 0 85-74,74-75,75-72,72-17,17-73,73-70,70-71,71-44,44-45,45-98,98-54,54-113,113-53,53-55,55-89,89-56
85 56 1 85-76,76-77,77-61,61-67,67-65,65-106,106-104,104-80,80-81,81-87,87-57,57-60,60-78,78-22,22-96,96-91,91-5,5-83,83-52,52-88,88-51,51-50,50-49,49-56
85 56 2 85-76,76-77,77-61,61-67,67-99,99-66,66-113,113-53,53-55,55-89,89-56
41 34 0 41-84,84-112,112-44,44-45,45-98,98-54,54-113,113-53,53-15,15-9,9-14,14-35,35-36,36-33,33-34
41 34 1 41-48,48-17,17-72,72-75,75-74,74-85,85-76,76-77,77-61,61-67,67-101,101-102,102-100,100-59,59-58,58-105,105-40,40-39,39-34
41 34 2 41-84,84-42,42-43,43-44,44-45,45-98,98-54,54-113,113-53,53-15,15-9,9-14,14-35,35-36,36-33,33-34
61 63 0 61-67,67-65,65-106,106-63
61 63 1 61-62,62-86,86-68,68-69,69-99,99-67,67-101,101-102,102-103,103-1,1-64,64-63
61 63 2 61-67,67-101,101-102,102-103,103-1,1-64,64-63
88 67 0 88-51,51-50,50-49,49-56,56-89,89-55,55-53,53-113,113-66,66-99,99-67
88 67 1 88-52,52-83,83-5,5-91,91-96,96-22,22-78,78-60,60-57,57-87,87-81,81-80,80-104,104-106,106-65,65-67
88 67 2 88-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-66,66-99,99-67
17 57 0 17-72,72-75,75-74,74-85,85-76,76-77,77-61,61-67,67-65,65-106,106-104,104-80,80-81,81-87,87-57
17 57 1 17-73,73-70,70-71,71-44,44-45,45-98,98-54,54-113,113-53,53-15,15-9,9-14,14-8,8-7,7-52,52-83,83-5,5-91,91-96,96-22,22-78,78-60,60-57
17 57 2 17-72,72-75,75-74,74-85,85-76,76-77,77-61,61-67,67-65,65-106,106-107,107-108,108-109,109-110,110-87,87-57
37 54 0 37-40,40-39,39-34,34-33,33-36,36-35,35-14,14-9,9-15,15-53,53-113,113-54
37 54 1 37-38,38-31,31-20,20-32,32-16,16-58,58-59,59-100,100-102,102-101,101-67,67-99,99-69,69-46,46-47,47-98,98-54
37 54 2 37-40,40-105,105-58,58-59,59-100,100-102,102-101,101-67,67-99,99-66,66-113,113-54
94 57 0 94-25,25-95,95-97,97-96,96-22,22-78,78-60,60-57
94 57 1 94-91,91-5,5-83,83-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-66,66-99,99-67,67-65,65-106,106-104,104-80,80-81,81-87,87-57
94 57 2 94-91,91-96,96-22,22-78,78-60,60-57
98 36 0 98-54,54-113,113-53,53-15,15-9,9-14,14-35,35-36
98 36 1 98-47,47-46,46-69,69-99,99-67,67-101,101-102,102-100,100-59,59-58,58-105,105-40,40-39,39-34,34-33,33-36
98 36 2 98-47,47-46,46-69,69-99,99-66,66-113,113-53,53-15,15-9,9-14,14-35,35-36
74 13 0 74-85,85-76,76-77,77-61,61-67,67-101,101-12,12-13
74 13 1 74-75,75-72,72-17,17-73,73-70,70-71,71-44,44-45,45-98,98-54,54-113,113-66,66-99,99-67,67-65,65-106,106-63,63-64,64-1,1-103,103-102,102-100,100-10,10-13
74 13 2 74-85,85-76,76-77,77-61,61-67,67-101,101-102,102-100,100-10,10-13
3 11 0 3-4,4-93,93-30,30-29,29-25,25-95,95-97,97-96,96-22,22-19,19-23,23-24,24-21,21-0,0-6,6-58,58-59,59-100,100-11
3 11 1 3-2,2-90,90-94,94-91,91-5,5-83,83-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-66,66-99,99-67,67-101,101-102,102-103,103-11
3 11 2 3-2,2-90,90-94,94-91,91-96,96-22,22-19,19-23,23-24,24-21,21-0,0-6,6-58,58-59,59-100,100-11
60 104 0 60-57,57-87,87-81,81-80,80-104
60 104 1 60-78,78-22,22-19,19-23,23-24,24-79,79-82,82-109,109-108,108-107,107-106,106-104
60 104 2 60-57,57-87,87-110,110-111,111-80,80-104
23 84 0 23-24,24-79,79-82,82-109,109-108,108-107,107-106,106-65,65-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-18,18-48,48-41,41-84
23 84 1 23-19,19-22,22-96,96-91,91-5,5-83,83-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44,44-112,112-84
23 84 2 23-24,24-79,79-82,82-109,109-108,108-107,107-106,106-65,65-67,67-99,99-66,66-113,113-54,54-98,98-45,45-44,44-112,112-84
64 107 0 64-63,63-106,106-107
64 107 1 64-1,1-103,103-102,102-101,101-67,67-65,65-106,106-104,104-80,80-111,111-110,110-109,109-108,108-107
64 107 2 64-1,1-103,103-102,102-101,101-67,67-65,65-106,106-107
104 88 0 104-80,80-81,81-87,87-57,57-60,60-78,78-22,22-96,96-91,91-5,5-83,83-52,52-88
104 88 1 104-106,106-65,65-67,67-99,99-66,66-113,113-53,53-55,55-89,89-56,56-49,49-50,50-51,51-88
104 88 2 104-80,80-111,111-110,110-87,87-57,57-60,60-78,78-22,22-96,96-91,91-5,5-83,83-52,52-88
84 102 0 84-112,112-44,44-45,45-98,98-54,54-113,113-66,66-99,99-67,67-101,101-102
84 102 1 84-41,41-48,48-17,17-72,72-75,75-74,74-85,85-76,76-77,77-61,61-67,67-65,65-106,106-63,63-64,64-1,1-103,103-102
84 102 2 84-112,112-44,44-45,45-98,98-47,47-46,46-69,69-99,99-67,67-101,101-102
50 18 0 50-49,49-56,56-89,89-55,55-53,53-113,113-54,54-98,98-45,45-44,44-71,71-70,70-73,73-18
50 18 1 50-51,51-88,88-52,52-83,83-5,5-91,91-96,96-22,22-78,78-60,60-57,57-87,87-81,81-80,80-104,104-106,106-65,65-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-18
50 18 2 50-49,49-56,56-89,89-55,55-53,53-113,113-54,54-98,98-45,45-44,44-112,112-84,84-41,41-48,48-18
103 0 0 103-102,102-100,100-59,59-58,58-6,6-0
103 0 1 103-1,1-64,64-63,63-106,106-107,107-108,108-109,109-82,82-79,79-24,24-21,21-0
103 0 2 103-11,11-100,100-59,59-58,58-6,6-0
70 81 0 70-71,71-44,44-45,45-98,98-54,54-113,113-66,66-99,99-67,67-65,65-106,106-104,104-80,80-81
70 81 1 70-73,73-18,18-72,72-75,75-74,74-85,85-76,76-77,77-61,61-67,67-101,101-102,102-103,103-1,1-64,64-63,63-106,106-107,107-108,108-109,109-110,110-87,87-81
70 81 2 70-71,71-44,44-45,45-98,98-47,47-46,46-69,69-99,99-67,67-65,65-106,106-104,104-80,80-81
40 4 0 40-105,105-58,58-6,6-0,0-21,21-24,24-23,23-19,19-22,22-96,96-97,97-95,95-25,25-29,29-30,30-93,93-4
40 4 1 40-39,39-34,34-33,33-36,36-35,35-14,14-8,8-7,7-52,52-83,83-5,5-91,91-94,94-90,90-2,2-3,3-4
40 4 2 40-105,105-58,58-6,6-0,0-21,21-24,24-23,23-19,19-22,22-96,96-91,91-94,94-90,90-2,2-3,3-4
93 15 0 93-4,4-3,3-2,2-90,90-94,94-91,91-5,5-83,83-52,52-7,7-8,8-14,14-9,9-15
93 15 1 93-30,30-29,29-25,25-95,95-97,97-96,96-22,22-78,78-60,60-57,57-87,87-81,81-80,80-104,104-106,106-65,65-67,67-99,99-66,66-113,113-53,53-15
93 15 2 93-30,30-29,29-25,25-94,94-91,91-5,5-83,83-52,52-7,7-8,8-14,14-9,9-15
46 30 0 46-69,69-99,99-67,67-65,65-106,106-104,104-80,80-81,81-87,87-57,57-60,60-78,78-22,22-96,96-97,97-95,95-25,25-29,29-30
46 30 1 46-47,47-98,98-54,54-113,113-53,53-15,15-9,9-14,14-8,8-7,7-52,52-83,83-5,5-91,91-94,94-90,90-2,2-3,3-4,4-93,93-30
46 30 2 46-69,69-99,99-66,66-113,113-53,53-15,15-9,9-14,14-8,8-7,7-52,52-83,83-5,5-91,91-94,94-25,25-29,29-30
12 90 0 12-101,101-67,67-99,99-66,66-113,113-53,53-15,15-9,9-14,14-8,8-7,7-52,52-83,83-5,5-91,91-94,94-90
12 90 1 12-13,13-10,10-100,100-59,59-58,58-6,6-0,0-21,21-24,24-23,23-19,19-22,22-96,96-97,97-95,95-25,25-29,29-30,30-93,93-4,4-3,3-2,2-90
12 90 2 12-13,13-10,10-100,100-59,59-58,58-6,6-0,0-21,21-24,24-23,23-19,19-22,22-96,96-91,91-94,94-90
16 29 0 16-58,58-6,6-0,0-21,21-24,24-23,23-19,19-22,22-96,96-97,97-95,95-25,25-29
16 29 1 16-32,32-20,20-31,31-38,38-37,37-40,40-39,39-34,34-33,33-36,36-35,35-14,14-8,8-7,7-52,52-83,83-5,5-91,91-94,94-90,90-2,2-3,3-4,4-93,93-30,30-29
16 29 2 16-58,58-6,6-0,0-21,21-24,24-23,23-19,19-22,22-96,96-91,91-94,94-25,25-29
81 112 0 81-80,80-104,104-106,106-65,65-67,67-99,99-69,69-46,46-47,47-98,98-45,45-44,44-112
81 112 1 81-87,87-110,110-109,109-108,108-107,107-106,106-63,63-64,64-1,1-103,103-102,102-101,101-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-18,18-48,48-41,41-84,84-112
81 112 2 81-80,80-104,104-106,106-65,65-67,67-99,99-66,66-113,113-54,54-98,98-45,45-44,44-112
73 92 0 73-70,70-71,71-44,44-45,45-98,98-54,54-113,113-53,53-15,15-9,9-14,14-8,8-7,7-52,52-83,83-5,5-91,91-94,94-25,25-92
73 92 1 73-18,18-72,72-75,75-74,74-85,85-76,76-77,77-61,61-67,67-65,65-106,106-104,104-80,80-81,81-87,87-57,57-60,60-78,78-22,22-96,96-97,97-95,95-92
73 92 2 73-70,70-71,71-44,44-45,45-98,98-54,54-113,113-53,53-15,15-9,9-14,14-8,8-7,7-52,52-83,83-5,5-91,91-96,96-97,97-95,95-92
36 80 0 36-35,35-14,14-9,9-15,15-53,53-113,113-66,66-99,99-67,67-65,65-106,106-104,104-80
36 80 1 36-33,33-34,34-39,39-40,40-105,105-58,58-6,6-0,0-21,21-24,24-79,79-82,82-109,109-110,110-111,111-80
36 80 2 36-33,33-34,34-39,39-40,40-105,105-58,58-59,59-100,100-102,102-101,101-67,67-65,65-106,106-104,104-80
2 64 0 2-3,3-4,4-93,93-30,30-29,29-25,25-95,95-97,97-96,96-22,22-78,78-60,60-57,57-87,87-81,81-80,80-104,104-106,106-63,63-64
2 64 1 2-90,90-94,94-91,91-5,5-83,83-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-66,66-99,99-67,67-101,101-102,102-103,103-1,1-64
2 64 2 2-90,90-94,94-91,91-96,96-22,22-78,78-60,60-57,57-87,87-81,81-80,80-104,104-106,106-63,63-64
22 7 0 22-96,96-91,91-5,5-83,83-52,52-7
22 7 1 22-19,19-23,23-24,24-21,21-0,0-6,6-58,58-105,105-40,40-39,39-34,34-33,33-36,36-35,35-14,14-8,8-7
22 7 2 22-96,96-97,97-95,95-25,25-94,94-91,91-5,5-83,83-52,52-7
79 82 0 79-82
79 82 1 79-24,24-23,23-19,19-22,22-78,78-60,60-57,57-87,87-110,110-109,109-82
79 82 2 79-24,24-23,23-19,19-22,22-78,78-60,60-57,57-87,87-81,81-80,80-111,111-110,110-109,109-82
26 74 0 26-25,25-95,95-97,97-96,96-22,22-78,78-60,60-57,57-87,87-81,81-80,80-104,104-106,106-65,65-67,67-61,61-77,77-76,76-85,85-74
26 74 1 26-27,27-28,28-25,25-94,94-91,91-5,5-83,83-52,52-7,7-8,8-14,14-9,9-15,15-53,53-113,113-54,54-98,98-45,45-44,44-71,71-70,70-73,73-18,18-72,72-75,75-74
26 74 2 26-25,25-94,94-91,91-96,96-22,22-78,78-60,60-57,57-87,87-81,81-80,80-104,104-106,106-65,65-67,67-61,61-77,77-76,76-85,85-74
83 23 0 83-5,5-91,91-96,96-22,22-19,19-23
83 23 1 83-52,52-7,7-8,8-14,14-35,35-36,36-33,33-34,34-39,39-40,40-105,105-58,58-6,6-0,0-21,21-24,24-23
83 23 2 83-5,5-91,91-94,94-25,25-95,95-97,97-96,96-22,22-19,19-23
12 41 0 12-101,101-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-18,18-48,48-41
12 41 1 12-13,13-10,10-100,100-11,11-103,103-1,1-64,64-63,63-106,106-65,65-67,67-99,99-69,69-46,46-47,47-98,98-45,45-44,44-112,112-84,84-41
12 41 2 12-101,101-67,67-61,61-77,77-76,76-85,85-74,74-75,75-72,72-17,17-48,48-41
69 40 0 69-99,99-67,67-101,101-102,102-100,100-59,59-58,58-105,105-40
