s t k edges
7 25 2 7-4,4-5,5-6,6-12,12-18,18-24,24-25
22 19 0 22-31,31-11,11-10,10-12,12-18,18-19
22 19 1 22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-13,13-20,20-19
22 19 2 22-31,31-30,30-26,26-25,25-24,24-18,18-19
20 7 0 20-19,19-18,18-12,12-6,6-7
20 7 1 20-13,13-17,17-9,9-8,8-6,6-5,5-4,4-7
20 7 2 20-13,13-17,17-9,9-8,8-6,6-7
18 19 0 18-19
18 19 1 18-12,12-6,6-8,8-9,9-17,17-13,13-20,20-19
18 19 2 18-12,12-6,6-8,8-9,9-17,17-16,16-15,15-14,14-21,21-20,20-19
23 26 0 23-22,22-31,31-30,30-26
23 26 1 23-2,2-3,3-0,0-1,1-6,6-12,12-18,18-24,24-25,25-26
23 26 2 23-22,22-31,31-29,29-28,28-27,27-26
21 6 0 21-20,20-19,19-18,18-12,12-6
21 6 1 21-14,14-15,15-16,16-17,17-9,9-8,8-6
21 6 2 21-20,20-13,13-17,17-9,9-8,8-6
8 5 0 8-6,6-5
8 5 1 8-9,9-17,17-13,13-20,20-19,19-18,18-12,12-6,6-7,7-4,4-5
8 5 2 8-6,6-7,7-4,4-5
9 0 0 9-8,8-6,6-1,1-0
9 0 1 9-17,17-13,13-20,20-19,19-18,18-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0
9 0 2 9-17,17-13,13-20,20-19,19-18,18-12,12-6,6-1,1-0
14 31 0 14-21,21-20,20-19,19-18,18-24,24-25,25-26,26-30,30-31
14 31 1 14-15,15-16,16-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31
14 31 2 14-21,21-20,20-19,19-18,18-12,12-10,10-11,11-31
10 7 0 10-12,12-6,6-7
10 7 1 10-11,11-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-5,5-4,4-7
10 7 2 10-12,12-6,6-5,5-4,4-7
15 30 0 15-14,14-21,21-20,20-19,19-18,18-24,24-25,25-26,26-30
15 30 1 15-16,16-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-30
15 30 2 15-16,16-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26,26-30
11 22 0 11-31,31-22
11 22 1 11-10,10-12,12-6,6-1,1-0,0-3,3-2,2-23,23-22
11 22 2 11-10,10-12,12-18,18-24,24-25,25-26,26-30,30-31,31-22
0 17 0 0-1,1-6,6-8,8-9,9-17
0 17 1 0-3,3-2,2-23,23-22,22-31,31-11,11-10,10-12,12-18,18-19,19-20,20-13,13-17
0 17 2 0-1,1-6,6-12,12-18,18-19,19-20,20-13,13-17
24 14 0 24-18,18-19,19-20,20-21,21-14
24 14 1 24-25,25-26,26-30,30-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-16,16-15,15-14
24 14 2 24-18,18-19,19-20,20-13,13-17,17-16,16-15,15-14
14 1 0 14-15,15-16,16-17,17-9,9-8,8-6,6-1
14 1 1 14-21,21-20,20-19,19-18,18-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0,0-1
14 1 2 14-21,21-20,20-19,19-18,18-12,12-6,6-1
12 17 0 12-6,6-8,8-9,9-17
12 17 1 12-18,18-19,19-20,20-13,13-17
12 17 2 12-18,18-19,19-20,20-21,21-14,14-15,15-16,16-17
1 28 0 1-0,0-3,3-2,2-23,23-22,22-31,31-29,29-28
1 28 1 1-6,6-12,12-18,18-24,24-25,25-26,26-27,27-28
1 28 2 1-6,6-12,12-10,10-11,11-31,31-29,29-28
25 15 0 25-24,24-18,18-19,19-20,20-21,21-14,14-15
25 15 1 25-26,26-30,30-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-16,16-15
25 15 2 25-24,24-18,18-19,19-20,20-13,13-17,17-16,16-15
15 4 0 15-16,16-17,17-9,9-8,8-6,6-5,5-4
15 4 1 15-14,14-21,21-20,20-19,19-18,18-12,12-6,6-7,7-4
15 4 2 15-16,16-17,17-9,9-8,8-6,6-7,7-4
13 20 0 13-20
13 20 1 13-17,17-16,16-15,15-14,14-21,21-20
13 20 2 13-17,17-9,9-8,8-6,6-12,12-18,18-19,19-20
2 27 0 2-23,23-22,22-31,31-29,29-28,28-27
2 27 1 2-3,3-0,0-1,1-6,6-12,12-18,18-24,24-25,25-26,26-27
2 27 2 2-23,23-22,22-31,31-30,30-26,26-27
26 12 0 26-25,25-24,24-18,18-12
26 12 1 26-30,30-31,31-11,11-10,10-12
26 12 2 26-27,27-28,28-29,29-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-12
29 17 0 29-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17
29 17 1 29-28,28-27,27-26,26-25,25-24,24-18,18-19,19-20,20-13,13-17
29 17 2 29-31,31-11,11-10,10-12,12-18,18-19,19-20,20-13,13-17
3 2 0 3-2
3 2 1 3-0,0-1,1-6,6-12,12-10,10-11,11-31,31-22,22-23,23-2
3 2 2 3-0,0-1,1-6,6-12,12-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2
27 1 0 27-26,26-25,25-24,24-18,18-12,12-6,6-1
27 1 1 27-28,28-29,29-31,31-22,22-23,23-2,2-3,3-0,0-1
27 1 2 27-28,28-29,29-31,31-11,11-10,10-12,12-6,6-1
30 14 0 30-26,26-25,25-24,24-18,18-19,19-20,20-21,21-14
30 14 1 30-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-16,16-15,15-14
30 14 2 30-31,31-11,11-10,10-12,12-18,18-19,19-20,20-21,21-14
4 5 0 4-5
4 5 1 4-7,7-6,6-5
28 10 0 28-29,29-31,31-11,11-10
28 10 1 28-27,27-26,26-25,25-24,24-18,18-12,12-10
28 10 2 28-27,27-26,26-30,30-31,31-11,11-10
31 15 0 31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-16,16-15
31 15 1 31-30,30-26,26-25,25-24,24-18,18-19,19-20,20-21,21-14,14-15
31 15 2 31-11,11-10,10-12,12-18,18-19,19-20,20-21,21-14,14-15
5 24 0 5-6,6-12,12-18,18-24
5 24 1 5-4,4-7,7-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-30,30-26,26-25,25-24
5 24 2 5-4,4-7,7-6,6-12,12-18,18-24
29 11 0 29-31,31-11
29 11 1 29-28,28-27,27-26,26-25,25-24,24-18,18-12,12-10,10-11
29 11 2 29-28,28-27,27-26,26-30,30-31,31-11
16 0 0 16-17,17-9,9-8,8-6,6-1,1-0
16 0 1 16-15,15-14,14-21,21-20,20-19,19-18,18-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0
16 0 2 16-17,17-13,13-20,20-19,19-18,18-12,12-6,6-1,1-0
6 23 0 6-1,1-0,0-3,3-2,2-23
6 23 1 6-12,12-10,10-11,11-31,31-22,22-23
6 23 2 6-12,12-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23
30 16 0 30-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-16
30 16 1 30-26,26-25,25-24,24-18,18-19,19-20,20-21,21-14,14-15,15-16
30 16 2 30-26,26-25,25-24,24-18,18-19,19-20,20-13,13-17,17-16
19 13 0 19-20,20-13
19 13 1 19-18,18-12,12-6,6-8,8-9,9-17,17-13
19 13 2 19-20,20-21,21-14,14-15,15-16,16-17,17-13
17 13 0 17-13
17 13 1 17-16,16-15,15-14,14-21,21-20,20-13
17 13 2 17-9,9-8,8-6,6-12,12-18,18-19,19-20,20-13
7 22 0 7-6,6-12,12-10,10-11,11-31,31-22
7 22 1 7-4,4-5,5-6,6-1,1-0,0-3,3-2,2-23,23-22
7 22 2 7-6,6-1,1-0,0-3,3-2,2-23,23-22
31 21 0 31-30,30-26,26-25,25-24,24-18,18-19,19-20,20-21
31 21 1 31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-16,16-15,15-14,14-21
31 21 2 31-11,11-10,10-12,12-18,18-19,19-20,20-21
20 14 0 20-21,21-14
20 14 1 20-13,13-17,17-16,16-15,15-14
20 14 2 20-19,19-18,18-12,12-6,6-8,8-9,9-17,17-16,16-15,15-14
18 10 0 18-12,12-10
18 10 1 18-24,24-25,25-26,26-30,30-31,31-11,11-10
18 10 2 18-19,19-20,20-13,13-17,17-9,9-8,8-6,6-12,12-10
23 19 0 23-22,22-31,31-11,11-10,10-12,12-18,18-19
23 19 1 23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-13,13-20,20-19
23 19 2 23-2,2-3,3-0,0-1,1-6,6-12,12-18,18-19
21 15 0 21-14,14-15
21 15 1 21-20,20-13,13-17,17-16,16-15
21 15 2 21-20,20-19,19-18,18-12,12-6,6-8,8-9,9-17,17-16,16-15
8 12 0 8-6,6-12
8 12 1 8-9,9-17,17-13,13-20,20-19,19-18,18-12
8 12 2 8-9,9-17,17-16,16-15,15-14,14-21,21-20,20-19,19-18,18-12
22 12 0 22-31,31-11,11-10,10-12
22 12 1 22-23,23-2,2-3,3-0,0-1,1-6,6-12
22 12 2 22-31,31-30,30-26,26-25,25-24,24-18,18-12
23 9 0 23-2,2-3,3-0,0-1,1-6,6-8,8-9
23 9 1 23-22,22-31,31-11,11-10,10-12,12-18,18-19,19-20,20-13,13-17,17-9
23 9 2 23-22,22-31,31-11,11-10,10-12,12-6,6-8,8-9
10 14 0 10-12,12-6,6-8,8-9,9-17,17-16,16-15,15-14
10 14 1 10-11,11-31,31-30,30-26,26-25,25-24,24-18,18-19,19-20,20-21,21-14
10 14 2 10-12,12-18,18-19,19-20,20-21,21-14
8 18 0 8-6,6-12,12-18
8 18 1 8-9,9-17,17-13,13-20,20-19,19-18
8 18 2 8-9,9-17,17-16,16-15,15-14,14-21,21-20,20-19,19-18
11 15 0 11-10,10-12,12-6,6-8,8-9,9-17,17-16,16-15
11 15 1 11-31,31-30,30-26,26-25,25-24,24-18,18-19,19-20,20-21,21-14,14-15
11 15 2 11-10,10-12,12-18,18-19,19-20,20-21,21-14,14-15
9 19 0 9-17,17-13,13-20,20-19
9 19 1 9-8,8-6,6-12,12-18,18-19
9 19 2 9-17,17-16,16-15,15-14,14-21,21-20,20-19
24 21 0 24-18,18-19,19-20,20-21
24 21 1 24-25,25-26,26-30,30-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-16,16-15,15-14,14-21
24 21 2 24-18,18-12,12-6,6-8,8-9,9-17,17-13,13-20,20-21
14 8 0 14-15,15-16,16-17,17-9,9-8
14 8 1 14-21,21-20,20-19,19-18,18-12,12-6,6-8
14 8 2 14-21,21-20,20-13,13-17,17-9,9-8
12 8 0 12-6,6-8
12 8 1 12-18,18-19,19-20,20-13,13-17,17-9,9-8
12 8 2 12-18,18-19,19-20,20-21,21-14,14-15,15-16,16-17,17-9,9-8
1 21 0 1-6,6-8,8-9,9-17,17-16,16-15,15-14,14-21
1 21 1 1-0,0-3,3-2,2-23,23-22,22-31,31-11,11-10,10-12,12-18,18-19,19-20,20-21
1 21 2 1-6,6-12,12-18,18-19,19-20,20-21
25 16 0 25-24,24-18,18-19,19-20,20-21,21-14,14-15,15-16
25 16 1 25-26,26-30,30-31,31-11,11-10,10-12,12-6,6-8,8-9,9-17,17-16
25 16 2 25-24,24-18,18-19,19-20,20-13,13-17,17-16
15 13 0 15-16,16-17,17-13
15 13 1 15-14,14-21,21-20,20-13
15 13 2 15-16,16-17,17-9,9-8,8-6,6-12,12-18,18-19,19-20,20-13
2 18 0 2-3,3-0,0-1,1-6,6-12,12-18
2 18 1 2-23,23-22,22-31,31-30,30-26,26-25,25-24,24-18
2 18 2 2-23,23-22,22-31,31-11,11-10,10-12,12-18
26 23 0 26-30,30-31,31-22,22-23
26 23 1 26-25,25-24,24-18,18-12,12-6,6-1,1-0,0-3,3-2,2-23
26 23 2 26-27,27-28,28-29,29-31,31-22,22-23
0 14 0 0-1,1-6,6-8,8-9,9-17,17-16,16-15,15-14
0 14 1 0-3,3-2,2-23,23-22,22-31,31-11,11-10,10-12,12-18,18-19,19-20,20-21,21-14
0 14 2 0-1,1-6,6-12,12-18,18-19,19-20,20-21,21-14
3 11 0 3-2,2-23,23-22,22-31,31-11
3 11 1 3-0,0-1,1-6,6-12,12-10,10-11
3 11 2 3-0,0-1,1-6,6-12,12-18,18-24,24-25,25-26,26-30,30-31,31-11
27 6 0 27-26,26-25,25-24,24-18,18-12,12-6
27 6 1 27-28,28-29,29-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6
27 6 2 27-28,28-29,29-31,31-11,11-10,10-12,12-6
1 15 0 1-6,6-8,8-9,9-17,17-16,16-15
1 15 1 1-0,0-3,3-2,2-23,23-22,22-31,31-11,11-10,10-12,12-18,18-19,19-20,20-21,21-14,14-15
1 15 2 1-6,6-12,12-18,18-19,19-20,20-21,21-14,14-15
4 12 0 4-5,5-6,6-12
4 12 1 4-7,7-6,6-8,8-9,9-17,17-13,13-20,20-19,19-18,18-12
4 12 2 4-7,7-6,6-12
28 1 0 28-27,27-26,26-25,25-24,24-18,18-12,12-6,6-1
28 1 1 28-29,29-31,31-22,22-23,23-2,2-3,3-0,0-1
28 1 2 28-29,29-31,31-11,11-10,10-12,12-6,6-1
2 12 0 2-3,3-0,0-1,1-6,6-12
2 12 1 2-23,23-22,22-31,31-11,11-10,10-12
2 12 2 2-23,23-22,22-31,31-30,30-26,26-25,25-24,24-18,18-12
5 1 0 5-6,6-1
5 1 1 5-4,4-7,7-6,6-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0,0-1
5 1 2 5-4,4-7,7-6,6-1
29 4 0 29-28,28-27,27-26,26-25,25-24,24-18,18-12,12-6,6-5,5-4
29 4 1 29-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-7,7-4
29 4 2 29-31,31-11,11-10,10-12,12-6,6-5,5-4
3 17 0 3-0,0-1,1-6,6-8,8-9,9-17
3 17 1 3-2,2-23,23-22,22-31,31-11,11-10,10-12,12-18,18-19,19-20,20-13,13-17
3 17 2 3-0,0-1,1-6,6-12,12-18,18-19,19-20,20-13,13-17
16 7 0 16-17,17-9,9-8,8-6,6-7
16 7 1 16-15,15-14,14-21,21-20,20-19,19-18,18-12,12-6,6-5,5-4,4-7
16 7 2 16-17,17-9,9-8,8-6,6-5,5-4,4-7
6 14 0 6-8,8-9,9-17,17-16,16-15,15-14
6 14 1 6-12,12-18,18-19,19-20,20-21,21-14
6 14 2 6-8,8-9,9-17,17-13,13-20,20-21,21-14
30 27 0 30-26,26-27
30 27 1 30-31,31-29,29-28,28-27
30 27 2 30-31,31-11,11-10,10-12,12-18,18-24,24-25,25-26,26-27
19 18 0 19-18
19 18 1 19-20,20-13,13-17,17-9,9-8,8-6,6-12,12-18
19 18 2 19-20,20-21,21-14,14-15,15-16,16-17,17-9,9-8,8-6,6-12,12-18
17 6 0 17-9,9-8,8-6
17 6 1 17-13,13-20,20-19,19-18,18-12,12-6
17 6 2 17-16,16-15,15-14,14-21,21-20,20-19,19-18,18-12,12-6
7 15 0 7-6,6-8,8-9,9-17,17-16,16-15
7 15 1 7-4,4-5,5-6,6-12,12-18,18-19,19-20,20-21,21-14,14-15
7 15 2 7-4,4-5,5-6,6-8,8-9,9-17,17-16,16-15
31 18 0 31-11,11-10,10-12,12-18
31 18 1 31-30,30-26,26-25,25-24,24-18
31 18 2 31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-8,8-9,9-17,17-13,13-20,20-19,19-18
20 21 0 20-21
20 21 1 20-13,13-17,17-16,16-15,15-14,14-21
20 21 2 20-19,19-18,18-12,12-6,6-8,8-9,9-17,17-16,16-15,15-14,14-21
18 5 0 18-12,12-6,6-5
18 5 1 18-19,19-20,20-13,13-17,17-9,9-8,8-6,6-7,7-4,4-5
18 5 2 18-12,12-6,6-7,7-4,4-5
16 29 0 16-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-29
16 29 1 16-15,15-14,14-21,21-20,20-19,19-18,18-24,24-25,25-26,26-27,27-28,28-29
16 29 2 16-17,17-13,13-20,20-19,19-18,18-12,12-10,10-11,11-31,31-29
21 8 0 21-20,20-19,19-18,18-12,12-6,6-8
21 8 1 21-14,14-15,15-16,16-17,17-9,9-8
21 8 2 21-20,20-13,13-17,17-9,9-8
17 24 0 17-13,13-20,20-19,19-18,18-24
17 24 1 17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-30,30-26,26-25,25-24
17 24 2 17-9,9-8,8-6,6-12,12-18,18-24
22 7 0 22-31,31-11,11-10,10-12,12-6,6-7
22 7 1 22-23,23-2,2-3,3-0,0-1,1-6,6-5,5-4,4-7
22 7 2 22-23,23-2,2-3,3-0,0-1,1-6,6-7
18 31 0 18-12,12-10,10-11,11-31
18 31 1 18-24,24-25,25-26,26-30,30-31
18 31 2 18-19,19-20,20-13,13-17,17-9,9-8,8-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31
23 6 0 23-2,2-3,3-0,0-1,1-6
23 6 1 23-22,22-31,31-11,11-10,10-12,12-6
23 6 2 23-22,22-31,31-30,30-26,26-25,25-24,24-18,18-12,12-6
10 9 0 10-12,12-6,6-8,8-9
10 9 1 10-11,11-31,31-30,30-26,26-25,25-24,24-18,18-19,19-20,20-13,13-17,17-9
10 9 2 10-12,12-18,18-19,19-20,20-13,13-17,17-9
8 25 0 8-9,9-17,17-13,13-20,20-19,19-18,18-24,24-25
8 25 1 8-6,6-12,12-10,10-11,11-31,31-30,30-26,26-25
8 25 2 8-6,6-12,12-18,18-24,24-25
11 4 0 11-10,10-12,12-6,6-5,5-4
11 4 1 11-31,31-22,22-23,23-2,2-3,3-0,0-1,1-6,6-7,7-4
11 4 2 11-10,10-12,12-6,6-7,7-4
9 20 0 9-17,17-13,13-20
9 20 1 9-8,8-6,6-12,12-18,18-19,19-20
9 20 2 9-17,17-16,16-15,15-14,14-21,21-20
24 28 0 24-25,25-26,26-27,27-28
24 28 1 24-18,18-12,12-10,10-11,11-31,31-29,29-28
24 28 2 24-25,25-26,26-30,30-31,31-29,29-28
14 19 0 14-21,21-20,20-19
14 19 1 14-15,15-16,16-17,17-9,9-8,8-6,6-12,12-18,18-19
14 19 2 14-15,15-16,16-17,17-13,13-20,20-19
12 7 0 12-6,6-7
12 7 1 12-18,18-19,19-20,20-13,13-17,17-9,9-8,8-6,6-5,5-4,4-7
12 7 2 12-6,6-5,5-4,4-7
10 19 0 10-11,11-31,31-30,30-26,26-25,25-24,24-18,18-19
10 19 1 10-12,12-6,6-8,8-9,9-17,17-13,13-20,20-19
10 19 2 10-12,12-18,18-19
15 10 0 15-16,16-17,17-9,9-8,8-6,6-12,12-10
15 10 1 15-14,14-21,21-20,20-19,19-18,18-24,24-25,25-26,26-30,30-31,31-11,11-10
15 10 2 15-14,14-21,21-20,20-19,19-18,18-12,12-10
13 6 0 13-17,17-9,9-8,8-6
13 6 1 13-20,20-19,19-18,18-12,12-6
13 6 2 13-20,20-21,21-14,14-15,15-16,16-17,17-9,9-8,8-6
11 26 0 11-31,31-30,30-26
11 26 1 11-10,10-12,12-18,18-24,24-25,25-26
11 26 2 11-31,31-29,29-28,28-27,27-26
26 30 0 26-30
26 30 1 26-27,27-28,28-29,29-31,31-30
26 30 2 26-25,25-24,24-18,18-12,12-10,10-11,11-31,31-30
0 5 0 0-1,1-6,6-5
0 5 1 0-3,3-2,2-23,23-22,22-31,31-11,11-10,10-12,12-6,6-7,7-4,4-5
0 5 2 0-1,1-6,6-7,7-4,4-5
24 2 0 24-25,25-26,26-30,30-31,31-22,22-23,23-2
24 2 1 24-18,18-12,12-6,6-1,1-0,0-3,3-2
24 2 2 24-18,18-12,12-10,10-11,11-31,31-22,22-23,23-2
12 29 0 12-10,10-11,11-31,31-29
12 29 1 12-18,18-24,24-25,25-26,26-27,27-28,28-29
12 29 2 12-18,18-24,24-25,25-26,26-30,30-31,31-29
27 31 0 27-26,26-30,30-31
27 31 1 27-28,28-29,29-31
27 31 2 27-26,26-25,25-24,24-18,18-12,12-10,10-11,11-31
1 0 0 1-0
1 0 1 1-6,6-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0
1 0 2 1-6,6-12,12-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0
25 3 0 25-24,24-18,18-12,12-6,6-1,1-0,0-3
25 3 1 25-26,26-30,30-31,31-22,22-23,23-2,2-3
25 3 2 25-26,26-27,27-28,28-29,29-31,31-22,22-23,23-2,2-3
4 11 0 4-5,5-6,6-12,12-10,10-11
4 11 1 4-7,7-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-11
4 11 2 4-7,7-6,6-12,12-10,10-11
28 24 0 28-27,27-26,26-25,25-24
28 24 1 28-29,29-31,31-11,11-10,10-12,12-18,18-24
28 24 2 28-29,29-31,31-30,30-26,26-25,25-24
2 7 0 2-3,3-0,0-1,1-6,6-7
2 7 1 2-23,23-22,22-31,31-11,11-10,10-12,12-6,6-5,5-4,4-7
2 7 2 2-3,3-0,0-1,1-6,6-5,5-4,4-7
5 10 0 5-6,6-12,12-10
5 10 1 5-4,4-7,7-6,6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-11,11-10
5 10 2 5-4,4-7,7-6,6-12,12-10
3 22 0 3-2,2-23,23-22
3 22 1 3-0,0-1,1-6,6-12,12-10,10-11,11-31,31-22
3 22 2 3-0,0-1,1-6,6-12,12-18,18-24,24-25,25-26,26-30,30-31,31-22
6 1 0 6-1
6 1 1 6-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0,0-1
6 1 2 6-12,12-18,18-24,24-25,25-26,26-30,30-31,31-22,22-23,23-2,2-3,3-0,0-1
30 2 0 30-31,31-22,22-23,23-2
30 2 1 30-26,26-25,25-24,24-18,18-12,12-6,6-1,1-0,0-3,3-2
30 2 2 30-26,26-27,27-28,28-29,29-31,31-22,22-23,23-2
4 17 0 4-5,5-6,6-8,8-9,9-17
4 17 1 4-7,7-6,6-12,12-18,18-19,19-20,20-13,13-17
4 17 2 4-7,7-6,6-8,8-9,9-17
19 27 0 19-18,18-24,24-25,25-26,26-27
19 27 1 19-20,20-13,13-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-29,29-28,28-27
19 27 2 19-18,18-12,12-10,10-11,11-31,31-30,30-26,26-27
7 4 0 7-4
7 4 1 7-6,6-5,5-4
31 27 0 31-29,29-28,28-27
31 27 1 31-30,30-26,26-27
31 27 2 31-11,11-10,10-12,12-18,18-24,24-25,25-26,26-27
5 20 0 5-6,6-12,12-18,18-19,19-20
5 20 1 5-4,4-7,7-6,6-8,8-9,9-17,17-13,13-20
5 20 2 5-6,6-8,8-9,9-17,17-13,13-20
20 28 0 20-19,19-18,18-24,24-25,25-26,26-27,27-28
20 28 1 20-13,13-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-29,29-28
20 28 2 20-19,19-18,18-12,12-10,10-11,11-31,31-29,29-28
16 20 0 16-17,17-13,13-20
16 20 1 16-15,15-14,14-21,21-20
16 20 2 16-17,17-9,9-8,8-6,6-12,12-18,18-19,19-20
6 27 0 6-12,12-18,18-24,24-25,25-26,26-27
6 27 1 6-1,1-0,0-3,3-2,2-23,23-22,22-31,31-29,29-28,28-27
6 27 2 6-12,12-10,10-11,11-31,31-30,30-26,26-27
21 17 0 21-20,20-13,13-17
21 17 1 21-14,14-15,15-16,16-17
21 17 2 21-20,20-19,19-18,18-12,12-6,6-8,8-9,9-17
19 1 0 19-20,20-13,13-17,17-9,9-8,8-6,6-1
19 1 1 19-18,18-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0,0-1
19 1 2 19-18,18-12,12-6,6-1
22 30 0 22-31,31-30
22 30 1 22-23,23-2,2-3,3-0,0-1,1-6,6-12,12-18,18-24,24-25,25-26,26-30
22 30 2 22-31,31-29,29-28,28-27,27-26,26-30
18 22 0 18-24,24-25,25-26,26-30,30-31,31-22
18 22 1 18-12,12-6,6-1,1-0,0-3,3-2,2-23,23-22
18 22 2 18-12,12-10,10-11,11-31,31-22
23 31 0 23-22,22-31
23 31 1 23-2,2-3,3-0,0-1,1-6,6-12,12-10,10-11,11-31
23 31 2 23-2,2-3,3-0,0-1,1-6,6-12,12-18,18-24,24-25,25-26,26-30,30-31
8 0 0 8-6,6-1,1-0
8 0 1 8-9,9-17,17-13,13-20,20-19,19-18,18-12,12-10,10-11,11-31,31-22,22-23,23-2,2-3,3-0
8 0 2 8-9,9-17,17-13,13-20,20-19,19-18,18-12,12-6,6-1,1-0
9 29 0 9-8,8-6,6-12,12-10,10-11,11-31,31-29
9 29 1 9-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26,26-27,27-28,28-29
9 29 2 9-17,17-13,13-20,20-19,19-18,18-12,12-10,10-11,11-31,31-29
14 26 0 14-21,21-20,20-19,19-18,18-24,24-25,25-26
14 26 1 14-15,15-16,16-17,17-9,9-8,8-6,6-12,12-10,10-11,11-31,31-30,30-26
14 26 2 14-15,15-16,16-17,17-13,13-20,20-19,19-18,18-24,24-25,25-26
10 26 0 10-11,11-31,31-30,30-26
10 26 1 10-12,12-18,18-24,24-25,25-26
10 26 2 10-11,11-31,31-29,29-28,28-27,27-26
15 19 0 15-14,14-21,21-20,20-19
15 19 1 15-16,16-17,17-9,9-8,8-6,6-12,12-18,18-19
15 19 2 15-16,16-17,17-13,13-20,20-19
11 19 0 11-31,31-30,30-26,26-25,25-24,24-18,18-19
11 19 1 11-10,10-12,12-6,6-8,8-9,9-17,17-13,13-20,20-19
11 19 2 11-10,10-12,12-18,18-19
26 25 0 26-25
26 25 1 26-30,30-31,31-11,11-10,10-12,12-18,18-24,24-25
26 25 2 26-27,27-28,28-29,29-31,31-11,11-10,10-12,12-18,18-24,24-25
