s t k edges
16 20 0 16-20
16 20 1 16-15,15-24,24-20
16 20 2 16-10,10-15,15-5,5-20
21 17 0 21-20,20-16,16-17
21 17 1 21-22,22-12,12-5,5-15,15-17
21 17 2 21-20,20-5,5-15,15-17
19 1 0 19-20,20-1
19 1 1 19-5,5-1
19 1 2 19-20,20-5,5-1
18 22 0 18-20,20-21,21-22
18 22 1 18-5,5-12,12-22
18 22 2 18-20,20-12,12-22
8 0 0 8-20,20-0
8 0 1 8-5,5-0
8 0 2 8-20,20-5,5-0
14 26 0 14-15,15-24,24-26
14 26 1 14-16,16-20,20-12,12-26
14 26 2 14-16,16-15,15-24,24-26
10 26 0 10-15,15-24,24-26
10 26 1 10-16,16-20,20-12,12-26
10 26 2 10-16,16-15,15-24,24-26
15 19 0 15-5,5-19
15 19 1 15-24,24-20,20-19
15 19 2 15-16,16-20,20-19
11 19 0 11-24,24-20,20-19
11 19 1 11-12,12-5,5-19
11 19 2 11-24,24-5,5-19
26 25 0 26-24,24-25
26 25 1 26-12,12-25
26 25 2 26-24,24-12,12-25
24 9 0 24-15,15-9
24 9 1 24-20,20-16,16-9
24 9 2 24-5,5-15,15-14,14-9
12 20 0 12-20
12 20 1 12-24,24-20
12 20 2 12-5,5-20
1 25 0 1-20,20-24,24-25
1 25 1 1-5,5-12,12-25
1 25 2 1-20,20-12,12-25
25 4 0 25-24,24-5,5-4
25 4 1 25-12,12-20,20-4
25 4 2 25-24,24-20,20-4
13 25 0 13-24,24-25
13 25 1 13-12,12-25
13 25 2 13-24,24-12,12-25
26 3 0 26-24,24-5,5-3
26 3 1 26-12,12-20,20-3
26 3 2 26-24,24-20,20-3
4 24 0 4-20,20-24
4 24 1 4-5,5-24
4 24 2 4-5,5-6,6-24
16 11 0 16-20,20-12,12-11
16 11 1 16-15,15-24,24-11
16 11 2 16-20,20-24,24-11
6 18 0 6-20,20-18
6 18 1 6-5,5-18
6 18 2 6-20,20-5,5-18
21 26 0 21-20,20-24,24-26
21 26 1 21-22,22-12,12-26
21 26 2 21-20,20-12,12-26
19 6 0 19-20,20-6
19 6 1 19-5,5-6
19 6 2 19-20,20-24,24-6
17 10 0 17-16,16-10
17 10 1 17-15,15-10
17 10 2 17-16,16-14,14-10
22 17 0 22-12,12-5,5-15,15-17
22 17 1 22-21,21-20,20-16,16-17
22 17 2 22-12,12-20,20-16,16-17
20 1 0 20-1
20 1 1 20-5,5-1
20 1 2 20-0,0-5,5-1
18 17 0 18-20,20-16,16-17
18 17 1 18-5,5-15,15-17
18 17 2 18-20,20-5,5-15,15-17
23 20 0 23-20
23 20 1 23-8,8-20
23 20 2 23-8,8-5,5-20
21 4 0 21-20,20-4
21 4 1 21-22,22-12,12-5,5-4
21 4 2 21-20,20-5,5-4
8 7 0 8-20,20-7
8 7 1 8-5,5-7
8 7 2 8-20,20-5,5-7
22 11 0 22-12,12-11
22 11 1 22-21,21-20,20-24,24-11
22 11 2 22-12,12-24,24-11
9 6 0 9-16,16-20,20-6
9 6 1 9-15,15-24,24-6
9 6 2 9-14,14-15,15-5,5-6
10 5 0 10-15,15-5
10 5 1 10-16,16-20,20-5
10 5 2 10-14,14-15,15-24,24-5
15 24 0 15-24
15 24 1 15-5,5-24
15 24 2 15-16,16-20,20-24
11 8 0 11-24,24-8
11 8 1 11-12,12-5,5-8
11 8 2 11-12,12-24,24-8
0 19 0 0-20,20-19
0 19 1 0-5,5-19
0 19 2 0-20,20-5,5-19
24 16 0 24-20,20-16
24 16 1 24-15,15-16
24 16 2 24-5,5-15,15-14,14-16
14 7 0 14-16,16-20,20-7
14 7 1 14-15,15-5,5-7
14 7 2 14-16,16-15,15-5,5-7
12 19 0 12-20,20-19
12 19 1 12-5,5-19
12 19 2 12-20,20-5,5-19
1 18 0 1-20,20-18
1 18 1 1-5,5-18
1 18 2 1-20,20-5,5-18
25 13 0 25-24,24-13
25 13 1 25-12,12-13
25 13 2 25-24,24-12,12-13
15 6 0 15-24,24-6
15 6 1 15-5,5-6
15 6 2 15-16,16-20,20-6
13 18 0 13-24,24-5,5-18
13 18 1 13-12,12-20,20-18
13 18 2 13-24,24-20,20-18
2 25 0 2-20,20-12,12-25
2 25 1 2-5,5-24,24-25
2 25 2 2-20,20-24,24-25
26 10 0 26-24,24-15,15-10
26 10 1 26-12,12-20,20-16,16-10
26 10 2 26-24,24-20,20-16,16-10
0 9 0 0-20,20-16,16-9
0 9 1 0-5,5-15,15-9
0 9 2 0-20,20-5,5-15,15-9
3 4 0 3-20,20-4
3 4 1 3-5,5-4
3 4 2 3-20,20-5,5-4
4 7 0 4-20,20-7
4 7 1 4-5,5-7
4 7 2 4-20,20-5,5-7
5 6 0 5-6
5 6 1 5-24,24-6
5 6 2 5-20,20-6
16 2 0 16-20,20-2
16 2 1 16-15,15-5,5-2
16 2 2 16-20,20-5,5-2
6 21 0 6-20,20-21
6 21 1 6-5,5-12,12-22,22-21
6 21 2 6-24,24-20,20-21
19 15 0 19-5,5-15
19 15 1 19-20,20-16,16-15
19 15 2 19-20,20-5,5-15
17 3 0 17-16,16-20,20-3
17 3 1 17-15,15-5,5-3
17 3 2 17-16,16-15,15-5,5-3
7 16 0 7-20,20-16
7 16 1 7-5,5-15,15-16
7 16 2 7-5,5-20,20-16
20 8 0 20-8
20 8 1 20-24,24-8
20 8 2 20-5,5-8
18 8 0 18-20,20-8
18 8 1 18-5,5-8
18 8 2 18-20,20-24,24-8
16 24 0 16-20,20-24
16 24 1 16-15,15-24
16 24 2 16-10,10-15,15-5,5-24
21 13 0 21-20,20-24,24-13
21 13 1 21-22,22-12,12-13
21 13 2 21-20,20-12,12-13
8 14 0 8-24,24-15,15-14
8 14 1 8-20,20-16,16-14
8 14 2 8-5,5-15,15-9,9-14
22 2 0 22-12,12-5,5-2
22 2 1 22-21,21-20,20-2
22 2 2 22-12,12-20,20-2
9 15 0 9-15
9 15 1 9-16,16-15
9 15 2 9-14,14-15
23 11 0 23-8,8-24,24-11
23 11 1 23-20,20-12,12-11
23 11 2 23-20,20-24,24-11
10 12 0 10-16,16-20,20-12
10 12 1 10-15,15-24,24-12
10 12 2 10-14,14-15,15-5,5-12
8 20 0 8-20
8 20 1 8-24,24-20
8 20 2 8-5,5-20
11 1 0 11-24,24-20,20-1
11 1 1 11-12,12-5,5-1
11 1 2 11-24,24-5,5-1
9 17 0 9-16,16-17
9 17 1 9-15,15-17
9 17 2 9-16,16-15,15-17
24 23 0 24-8,8-23
24 23 1 24-20,20-23
24 23 2 24-8,8-20,20-23
12 10 0 12-24,24-15,15-10
12 10 1 12-20,20-16,16-10
12 10 2 12-5,5-15,15-14,14-10
10 22 0 10-16,16-20,20-21,21-22
10 22 1 10-15,15-5,5-12,12-22
10 22 2 10-16,16-20,20-12,12-22
25 22 0 25-12,12-22
25 22 1 25-24,24-20,20-21,21-22
25 22 2 25-24,24-12,12-22
13 11 0 13-24,24-11
13 11 1 13-12,12-11
13 11 2 13-24,24-12,12-11
2 16 0 2-20,20-16
2 16 1 2-5,5-15,15-16
2 16 2 2-5,5-20,20-16
26 21 0 26-24,24-20,20-21
26 21 1 26-12,12-22,22-21
26 21 2 26-12,12-20,20-21
3 13 0 3-20,20-24,24-13
3 13 1 3-5,5-12,12-13
3 13 2 3-20,20-12,12-13
1 13 0 1-20,20-24,24-13
1 13 1 1-5,5-12,12-13
1 13 2 1-20,20-12,12-13
4 14 0 4-20,20-16,16-14
4 14 1 4-5,5-15,15-14
4 14 2 4-20,20-5,5-15,15-14
2 10 0 2-20,20-16,16-10
2 10 1 2-5,5-15,15-10
2 10 2 2-20,20-5,5-15,15-10
5 15 0 5-15
5 15 1 5-24,24-15
5 15 2 5-20,20-16,16-15
3 19 0 3-20,20-19
3 19 1 3-5,5-19
3 19 2 3-20,20-5,5-19
6 12 0 6-24,24-12
6 12 1 6-20,20-12
6 12 2 6-5,5-12
4 20 0 4-20
4 20 1 4-5,5-20
4 20 2 4-5,5-0,0-20
19 20 0 19-20
19 20 1 19-5,5-20
19 20 2 19-5,5-0,0-20
17 4 0 17-16,16-20,20-4
17 4 1 17-15,15-5,5-4
17 4 2 17-16,16-15,15-5,5-4
7 9 0 7-20,20-16,16-9
7 9 1 7-5,5-15,15-9
7 9 2 7-20,20-5,5-15,15-9
20 23 0 20-23
20 23 1 20-8,8-23
20 23 2 20-24,24-8,8-23
18 3 0 18-20,20-3
18 3 1 18-5,5-3
18 3 2 18-20,20-5,5-3
21 22 0 21-22
21 22 1 21-20,20-12,12-22
21 22 2 21-20,20-5,5-12,12-22
22 5 0 22-12,12-5
22 5 1 22-21,21-20,20-5
22 5 2 22-12,12-20,20-5
23 0 0 23-20,20-0
23 0 1 23-8,8-5,5-0
23 0 2 23-8,8-20,20-0
11 6 0 11-24,24-6
11 6 1 11-12,12-20,20-6
11 6 2 11-12,12-24,24-6
9 26 0 9-15,15-24,24-26
9 26 1 9-16,16-20,20-12,12-26
9 26 2 9-16,16-15,15-24,24-26
14 17 0 14-16,16-17
14 17 1 14-15,15-17
14 17 2 14-16,16-15,15-17
12 1 0 12-20,20-1
12 1 1 12-5,5-1
12 1 2 12-20,20-5,5-1
10 17 0 10-16,16-17
10 17 1 10-15,15-17
10 17 2 10-16,16-15,15-17
15 20 0 15-16,16-20
15 20 1 15-24,24-20
15 20 2 15-5,5-20
13 4 0 13-24,24-5,5-4
13 4 1 13-12,12-20,20-4
13 4 2 13-24,24-20,20-4
0 7 0 0-20,20-7
0 7 1 0-5,5-7
0 7 2 0-20,20-5,5-7
24 4 0 24-20,20-4
24 4 1 24-5,5-4
24 4 2 24-20,20-5,5-4
1 6 0 1-20,20-6
1 6 1 1-5,5-6
1 6 2 1-20,20-24,24-6
25 1 0 25-24,24-5,5-1
25 1 1 25-12,12-20,20-1
25 1 2 25-24,24-20,20-1
2 5 0 2-5
2 5 1 2-20,20-5
2 5 2 2-20,20-0,0-5
26 6 0 26-24,24-6
26 6 1 26-12,12-20,20-6
26 6 2 26-12,12-24,24-6
5 8 0 5-8
5 8 1 5-24,24-8
5 8 2 5-20,20-8
3 24 0 3-20,20-24
3 24 1 3-5,5-24
3 24 2 3-5,5-6,6-24
6 7 0 6-20,20-7
6 7 1 6-5,5-7
6 7 2 6-20,20-5,5-7
4 19 0 4-20,20-19
4 19 1 4-5,5-19
4 19 2 4-20,20-5,5-19
7 6 0 7-20,20-6
7 6 1 7-5,5-6
7 6 2 7-20,20-24,24-6
5 18 0 5-18
5 18 1 5-20,20-18
5 18 2 5-0,0-20,20-18
16 22 0 16-20,20-21,21-22
16 22 1 16-15,15-5,5-12,12-22
16 22 2 16-20,20-12,12-22
6 25 0 6-24,24-25
6 25 1 6-5,5-12,12-25
6 25 2 6-20,20-12,12-25
19 3 0 19-20,20-3
19 3 1 19-5,5-3
19 3 2 19-20,20-5,5-3
17 23 0 17-16,16-20,20-23
17 23 1 17-15,15-5,5-8,8-23
17 23 2 17-15,15-24,24-8,8-23
20 4 0 20-4
20 4 1 20-5,5-4
20 4 2 20-0,0-5,5-4
18 20 0 18-20
18 20 1 18-5,5-20
18 20 2 18-5,5-0,0-20
23 25 0 23-8,8-24,24-25
23 25 1 23-20,20-12,12-25
23 25 2 23-20,20-24,24-25
8 2 0 8-20,20-2
8 2 1 8-5,5-2
8 2 2 8-20,20-5,5-2
9 3 0 9-16,16-20,20-3
9 3 1 9-15,15-5,5-3
9 3 2 9-16,16-15,15-5,5-3
14 24 0 14-15,15-24
14 24 1 14-16,16-20,20-24
14 24 2 14-9,9-15,15-5,5-24
10 24 0 10-15,15-24
10 24 1 10-16,16-20,20-24
10 24 2 10-14,14-15,15-5,5-24
11 21 0 11-24,24-20,20-21
11 21 1 11-12,12-22,22-21
11 21 2 11-12,12-20,20-21
24 11 0 24-11
24 11 1 24-12,12-11
24 11 2 24-5,5-12,12-11
14 2 0 14-16,16-20,20-2
14 2 1 14-15,15-5,5-2
14 2 2 14-16,16-15,15-5,5-2
12 22 0 12-22
12 22 1 12-20,20-21,21-22
12 22 2 12-5,5-20,20-21,21-22
25 10 0 25-24,24-15,15-10
25 10 1 25-12,12-20,20-16,16-10
25 10 2 25-24,24-20,20-16,16-10
13 23 0 13-24,24-8,8-23
13 23 1 13-12,12-20,20-23
13 23 2 13-24,24-20,20-23
26 1 0 26-24,24-5,5-1
26 1 1 26-12,12-20,20-1
26 1 2 26-24,24-20,20-1
3 1 0 3-20,20-1
3 1 1 3-5,5-1
3 1 2 3-20,20-5,5-1
4 26 0 4-20,20-12,12-26
4 26 1 4-5,5-24,24-26
4 26 2 4-20,20-24,24-26
16 13 0 16-20,20-12,12-13
16 13 1 16-15,15-24,24-13
16 13 2 16-20,20-24,24-13
6 16 0 6-20,20-16
6 16 1 6-24,24-15,15-16
6 16 2 6-5,5-15,15-10,10-16
21 24 0 21-20,20-24
21 24 1 21-22,22-12,12-24
21 24 2 21-20,20-5,5-24
19 8 0 19-20,20-8
19 8 1 19-5,5-8
19 8 2 19-20,20-24,24-8
17 8 0 17-16,16-20,20-8
17 8 1 17-15,15-5,5-8
17 8 2 17-15,15-24,24-8
7 21 0 7-20,20-21
7 21 1 7-5,5-12,12-22,22-21
7 21 2 7-5,5-20,20-21
22 23 0 22-12,12-20,20-23
22 23 1 22-21,21-20,20-8,8-23
22 23 2 22-21,21-20,20-23
20 3 0 20-3
20 3 1 20-5,5-3
20 3 2 20-0,0-5,5-3
18 15 0 18-5,5-15
18 15 1 18-20,20-16,16-15
18 15 2 18-20,20-5,5-15
23 22 0 23-20,20-12,12-22
23 22 1 23-8,8-20,20-21,21-22
23 22 2 23-20,20-21,21-22
21 2 0 21-20,20-2
21 2 1 21-22,22-12,12-5,5-2
21 2 2 21-20,20-5,5-2
8 9 0 8-24,24-15,15-9
8 9 1 8-20,20-16,16-9
8 9 2 8-5,5-15,15-14,14-9
22 9 0 22-12,12-5,5-15,15-9
22 9 1 22-21,21-20,20-16,16-9
22 9 2 22-12,12-20,20-16,16-9
9 4 0 9-16,16-20,20-4
9 4 1 9-15,15-5,5-4
9 4 2 9-16,16-15,15-5,5-4
23 12 0 23-20,20-12
23 12 1 23-8,8-24,24-12
23 12 2 23-8,8-5,5-12
10 3 0 10-16,16-20,20-3
10 3 1 10-15,15-5,5-3
10 3 2 10-16,16-15,15-5,5-3
15 26 0 15-24,24-26
15 26 1 15-5,5-12,12-26
15 26 2 15-5,5-24,24-26
11 10 0 11-24,24-15,15-10
11 10 1 11-12,12-20,20-16,16-10
11 10 2 11-24,24-20,20-16,16-10
0 21 0 0-20,20-21
0 21 1 0-5,5-12,12-22,22-21
0 21 2 0-5,5-20,20-21
24 18 0 24-20,20-18
24 18 1 24-5,5-18
24 18 2 24-20,20-5,5-18
14 5 0 14-15,15-5
14 5 1 14-16,16-20,20-5
14 5 2 14-9,9-15,15-24,24-5
12 13 0 12-13
12 13 1 12-24,24-13
12 13 2 12-5,5-24,24-13
1 16 0 1-20,20-16
1 16 1 1-5,5-15,15-16
1 16 2 1-5,5-20,20-16
25 19 0 25-24,24-5,5-19
25 19 1 25-12,12-20,20-19
25 19 2 25-24,24-20,20-19
15 0 0 15-5,5-0
15 0 1 15-24,24-20,20-0
15 0 2 15-16,16-20,20-0
13 16 0 13-24,24-15,15-16
13 16 1 13-12,12-20,20-16
13 16 2 13-24,24-20,20-16
2 23 0 2-20,20-23
2 23 1 2-5,5-8,8-23
2 23 2 2-20,20-8,8-23
26 8 0 26-24,24-8
26 8 1 26-12,12-20,20-8
26 8 2 26-12,12-24,24-8
0 11 0 0-20,20-12,12-11
0 11 1 0-5,5-24,24-11
0 11 2 0-20,20-24,24-11
3 6 0 3-20,20-6
3 6 1 3-5,5-6
3 6 2 3-20,20-24,24-6
1 10 0 1-20,20-16,16-10
1 10 1 1-5,5-15,15-10
1 10 2 1-20,20-5,5-15,15-10
4 1 0 4-20,20-1
4 1 1 4-5,5-1
4 1 2 4-20,20-5,5-1
5 4 0 5-4
5 4 1 5-20,20-4
5 4 2 5-0,0-20,20-4
16 4 0 16-20,20-4
16 4 1 16-15,15-5,5-4
16 4 2 16-20,20-5,5-4
6 11 0 6-24,24-11
6 11 1 6-5,5-12,12-11
6 11 2 6-20,20-12,12-11
19 17 0 19-20,20-16,16-17
19 17 1 19-5,5-15,15-17
19 17 2 19-20,20-5,5-15,15-17
17 1 0 17-16,16-20,20-1
17 1 1 17-15,15-5,5-1
17 1 2 17-16,16-15,15-5,5-1
7 18 0 7-20,20-18
7 18 1 7-5,5-18
7 18 2 7-20,20-5,5-18
20 10 0 20-16,16-10
20 10 1 20-24,24-15,15-10
20 10 2 20-5,5-15,15-14,14-10
18 6 0 18-20,20-6
18 6 1 18-5,5-6
18 6 2 18-20,20-24,24-6
16 26 0 16-20,20-12,12-26
16 26 1 16-15,15-24,24-26
16 26 2 16-20,20-24,24-26
21 11 0 21-20,20-24,24-11
21 11 1 21-22,22-12,12-11
21 11 2 21-20,20-12,12-11
22 0 0 22-12,12-5,5-0
22 0 1 22-21,21-20,20-0
22 0 2 22-12,12-20,20-0
9 13 0 9-15,15-24,24-13
9 13 1 9-16,16-20,20-12,12-13
9 13 2 9-16,16-15,15-24,24-13
23 5 0 23-8,8-5
23 5 1 23-20,20-5
23 5 2 23-8,8-20,20-5
8 22 0 8-24,24-12,12-22
8 22 1 8-20,20-21,21-22
8 22 2 8-5,5-12,12-22
11 3 0 11-24,24-20,20-3
11 3 1 11-12,12-5,5-3
11 3 2 11-24,24-5,5-3
9 23 0 9-16,16-20,20-23
9 23 1 9-15,15-5,5-8,8-23
9 23 2 9-15,15-24,24-8,8-23
24 25 0 24-25
24 25 1 24-12,12-25
24 25 2 24-5,5-12,12-25
14 12 0 14-16,16-20,20-12
14 12 1 14-15,15-24,24-12
14 12 2 14-9,9-15,15-5,5-12
12 4 0 12-20,20-4
12 4 1 12-5,5-4
12 4 2 12-20,20-5,5-4
10 20 0 10-16,16-20
10 20 1 10-15,15-24,24-20
10 20 2 10-14,14-15,15-5,5-20
25 20 0 25-24,24-20
25 20 1 25-12,12-20
25 20 2 25-12,12-5,5-20
15 9 0 15-9
15 9 1 15-16,16-9
15 9 2 15-14,14-9
13 9 0 13-24,24-15,15-9
13 9 1 13-12,12-20,20-16,16-9
13 9 2 13-24,24-20,20-16,16-9
11 25 0 11-24,24-25
11 25 1 11-12,12-25
11 25 2 11-24,24-12,12-25
26 19 0 26-24,24-5,5-19
26 19 1 26-12,12-20,20-19
26 19 2 26-24,24-20,20-19
0 2 0 0-20,20-2
0 2 1 0-5,5-2
0 2 2 0-20,20-5,5-2
3 15 0 3-5,5-15
3 15 1 3-20,20-16,16-15
3 15 2 3-20,20-5,5-15
1 3 0 1-20,20-3
1 3 1 1-5,5-3
1 3 2 1-20,20-5,5-3
4 8 0 4-20,20-8
