s t k edges
22 7 2 22-19,19-20,20-25,25-24,24-23,23-85,85-84,84-83,83-78,78-3,3-4,4-7
79 82 0 79-24,24-82
79 82 1 79-80,80-46,46-48,48-49,49-42,42-81,81-82
79 82 2 79-86,86-85,85-23,23-24,24-27,27-28,28-82
26 74 0 26-23,23-85,85-84,84-47,47-101,101-39,39-74
26 74 1 26-73,73-21,21-19,19-20,20-25,25-24,24-79,79-80,80-46,46-41,41-74
26 74 2 26-23,23-24,24-79,79-80,80-46,46-41,41-74
83 23 0 83-84,84-85,85-23
83 23 1 83-78,78-3,3-39,39-101,101-46,46-80,80-79,79-24,24-23
83 23 2 83-84,84-85,85-86,86-79,79-24,24-23
12 41 0 12-18,18-94,94-52,52-39,39-74,74-41
12 41 1 12-13,13-11,11-94,94-89,89-88,88-65,65-39,39-101,101-46,46-41
12 41 2 12-13,13-10,10-94,94-52,52-39,39-74,74-41
69 40 0 69-71,71-64,64-65,65-39,39-74,74-41,41-40
69 40 1 69-93,93-66,66-67,67-94,94-52,52-39,39-43,43-42,42-49,49-40
69 40 2 69-71,71-6,6-4,4-3,3-39,39-74,74-41,41-40
73 45 0 73-26,26-23,23-85,85-84,84-47,47-101,101-39,39-52,52-45
73 45 1 73-21,21-19,19-20,20-25,25-24,24-82,82-81,81-42,42-44,44-45
73 45 2 73-26,26-23,23-24,24-82,82-81,81-42,42-44,44-45
59 14 0 59-56,56-0,0-8,8-76,76-3,3-39,39-74,74-14
59 14 1 59-58,58-75,75-54,54-6,6-4,4-3,3-37,37-36,36-17,17-14
59 14 2 59-58,58-56,56-0,0-8,8-76,76-3,3-39,39-74,74-14
45 47 0 45-52,52-39,39-101,101-47
45 47 1 45-44,44-42,42-49,49-48,48-46,46-47
45 47 2 45-51,51-52,52-87,87-15,15-39,39-3,3-78,78-83,83-84,84-47
49 52 0 49-42,42-44,44-45,45-52
49 52 1 49-40,40-41,41-74,74-39,39-52
49 52 2 49-48,48-46,46-101,101-39,39-15,15-87,87-52
92 78 0 92-91,91-71,71-6,6-4,4-3,3-78
92 78 1 92-90,90-68,68-67,67-94,94-52,52-39,39-101,101-47,47-2,2-77,77-78
92 78 2 92-90,90-69,69-71,71-6,6-4,4-3,3-78
96 9 0 96-95,95-22,22-19,19-20,20-25,25-24,24-82,82-81,81-42,42-43,43-39,39-3,3-76,76-8,8-0,0-9
96 9 1 96-97,97-98,98-99,99-100,100-50,50-53,53-72,72-73,73-26,26-23,23-85,85-84,84-83,83-78,78-3,3-4,4-7,7-8,8-55,55-9
96 9 2 96-95,95-50,50-53,53-72,72-73,73-26,26-23,23-85,85-84,84-83,83-78,78-3,3-76,76-8,8-0,0-9
25 3 0 25-24,24-82,82-81,81-42,42-43,43-39,39-3
25 3 1 25-20,20-19,19-21,21-73,73-26,26-23,23-85,85-84,84-83,83-78,78-3
25 3 2 25-24,24-23,23-85,85-84,84-83,83-78,78-3
82 52 0 82-81,81-42,42-44,44-45,45-52
82 52 1 82-24,24-79,79-80,80-46,46-101,101-39,39-52
82 52 2 82-28,28-27,27-24,24-23,23-85,85-84,84-83,83-78,78-3,3-39,39-15,15-87,87-52
45 64 0 45-52,52-94,94-67,67-64
45 64 1 45-51,51-52,52-39,39-65,65-64
45 64 2 45-44,44-42,42-43,43-39,39-3,3-4,4-6,6-71,71-64
102 51 0 102-89,89-88,88-87,87-52,52-51
102 51 1 102-66,66-67,67-94,94-52,52-45,45-51
102 51 2 102-89,89-94,94-52,52-51
1 58 0 1-0,0-56,56-58
1 58 1 1-57,57-56,56-59,59-58
1 58 2 1-57,57-56,56-58
21 55 0 21-73,73-26,26-23,23-85,85-84,84-83,83-78,78-3,3-76,76-8,8-55
21 55 1 21-19,19-20,20-25,25-24,24-82,82-81,81-42,42-43,43-39,39-3,3-4,4-7,7-8,8-0,0-55
21 55 2 21-73,73-26,26-23,23-85,85-84,84-47,47-101,101-39,39-3,3-76,76-8,8-55
97 18 0 97-96,96-95,95-22,22-19,19-20,20-25,25-24,24-82,82-81,81-42,42-43,43-39,39-52,52-94,94-18
97 18 1 97-98,98-99,99-100,100-50,50-53,53-72,72-73,73-26,26-23,23-85,85-84,84-47,47-101,101-39,39-65,65-88,88-89,89-102,102-30,30-32,32-18
97 18 2 97-96,96-95,95-22,22-19,19-20,20-25,25-24,24-79,79-80,80-46,46-101,101-39,39-52,52-94,94-18
78 56 0 78-3,3-76,76-8,8-0,0-56
78 56 1 78-83,83-84,84-47,47-101,101-39,39-3,3-4,4-6,6-54,54-75,75-58,58-56
78 56 2 78-77,77-2,2-47,47-46,46-41,41-74,74-39,39-38,38-5,5-4,4-7,7-8,8-55,55-0,0-1,1-57,57-56
93 69 0 93-69
93 69 1 93-29,29-69
93 69 2 93-66,66-67,67-68,68-90,90-69
7 4 0 7-4
7 4 1 7-8,8-76,76-4
7 4 2 7-8,8-76,76-3,3-4
11 65 0 11-94,94-67,67-64,64-65
11 65 1 11-16,16-94,94-52,52-39,39-65
11 65 2 11-10,10-94,94-89,89-88,88-65
54 33 0 54-6,6-4,4-3,3-39,39-74,74-41,41-33
54 33 1 54-62,62-55,55-8,8-76,76-3,3-37,37-36,36-35,35-34,34-33
54 33 2 54-70,70-6,6-4,4-3,3-39,39-74,74-41,41-33
58 44 0 58-56,56-0,0-8,8-76,76-3,3-39,39-43,43-42,42-44
58 44 1 58-75,75-54,54-6,6-71,71-64,64-67,67-94,94-52,52-45,45-44
58 44 2 58-75,75-54,54-6,6-4,4-3,3-39,39-43,43-42,42-44
44 15 0 44-42,42-43,43-39,39-15
44 15 1 44-45,45-52,52-87,87-15
44 15 2 44-45,45-52,52-39,39-15
34 21 0 34-33,33-41,41-46,46-80,80-79,79-24,24-25,25-20,20-19,19-21
34 21 1 34-35,35-36,36-37,37-3,3-78,78-83,83-84,84-85,85-23,23-26,26-73,73-21
34 21 2 34-33,33-41,41-46,46-80,80-79,79-24,24-23,23-26,26-73,73-21
91 44 0 91-71,71-64,64-65,65-39,39-43,43-42,42-44
91 44 1 91-92,92-90,90-68,68-67,67-94,94-52,52-45,45-44
91 44 2 91-71,71-64,64-67,67-94,94-52,52-45,45-44
20 96 0 20-19,19-22,22-95,95-96
20 96 1 20-25,25-24,24-23,23-26,26-73,73-72,72-53,53-50,50-100,100-99,99-98,98-97,97-96
20 96 2 20-19,19-21,21-73,73-72,72-53,53-50,50-95,95-96
77 81 0 77-78,78-3,3-39,39-43,43-42,42-81
77 81 1 77-2,2-47,47-46,46-80,80-79,79-24,24-82,82-81
77 81 2 77-2,2-47,47-46,46-48,48-49,49-42,42-81
24 99 0 24-23,23-26,26-73,73-72,72-53,53-50,50-100,100-99
24 99 1 24-25,25-20,20-19,19-22,22-95,95-96,96-97,97-98,98-99
24 99 2 24-25,25-20,20-19,19-22,22-95,95-50,50-100,100-99
6 87 0 6-71,71-64,64-65,65-88,88-87
6 87 1 6-4,4-5,5-38,38-39,39-52,52-87
6 87 2 6-54,54-62,62-55,55-8,8-76,76-3,3-39,39-15,15-87
10 26 0 10-94,94-52,52-39,39-101,101-47,47-84,84-85,85-23,23-26
10 26 1 10-16,16-94,94-89,89-88,88-65,65-39,39-43,43-42,42-81,81-82,82-24,24-25,25-20,20-19,19-21,21-73,73-26
10 26 2 10-16,16-94,94-52,52-39,39-101,101-47,47-84,84-85,85-23,23-26
67 71 0 67-64,64-71
67 71 1 67-66,66-93,93-69,69-71
67 71 2 67-68,68-90,90-92,92-91,91-71
30 89 0 30-102,102-89
30 89 1 30-31,31-18,18-94,94-89
30 89 2 30-29,29-69,69-71,71-64,64-65,65-88,88-89
87 24 0 87-52,52-39,39-101,101-46,46-80,80-79,79-24
87 24 1 87-15,15-39,39-43,43-42,42-81,81-82,82-24
87 24 2 87-88,88-65,65-39,39-3,3-78,78-83,83-84,84-85,85-23,23-24
0 28 0 0-8,8-76,76-3,3-39,39-43,43-42,42-81,81-82,82-28
0 28 1 0-55,55-8,8-7,7-4,4-3,3-78,78-83,83-84,84-85,85-23,23-24,24-27,27-28
0 28 2 0-55,55-8,8-76,76-3,3-39,39-43,43-42,42-81,81-82,82-28
77 34 0 77-2,2-47,47-46,46-41,41-33,33-34
77 34 1 77-78,78-3,3-37,37-36,36-35,35-34
77 34 2 77-2,2-47,47-101,101-46,46-41,41-33,33-34
63 19 0 63-62,62-55,55-8,8-76,76-3,3-39,39-101,101-46,46-80,80-79,79-24,24-25,25-20,20-19
63 19 1 63-60,60-61,61-58,58-75,75-54,54-6,6-4,4-3,3-78,78-83,83-84,84-85,85-23,23-26,26-73,73-21,21-19
63 19 2 63-62,62-54,54-6,6-4,4-3,3-78,78-83,83-84,84-85,85-23,23-24,24-25,25-20,20-19
33 68 0 33-41,41-74,74-39,39-52,52-94,94-67,67-68
33 68 1 33-34,34-35,35-36,36-37,37-3,3-4,4-6,6-71,71-69,69-90,90-68
33 68 2 33-41,41-74,74-39,39-65,65-64,64-67,67-68
53 9 0 53-72,72-73,73-26,26-23,23-85,85-84,84-83,83-78,78-3,3-76,76-8,8-0,0-9
53 9 1 53-50,50-95,95-22,22-19,19-20,20-25,25-24,24-82,82-81,81-42,42-43,43-39,39-3,3-4,4-7,7-8,8-55,55-9
53 9 2 53-72,72-73,73-26,26-23,23-85,85-84,84-83,83-78,78-3,3-76,76-8,8-55,55-9
57 78 0 57-1,1-0,0-8,8-76,76-3,3-78
57 78 1 57-56,56-58,58-75,75-54,54-6,6-4,4-3,3-39,39-101,101-47,47-2,2-77,77-78
57 78 2 57-56,56-0,0-8,8-76,76-3,3-78
80 89 0 80-46,46-101,101-39,39-65,65-88,88-89
80 89 1 80-79,79-24,24-82,82-81,81-42,42-43,43-39,39-52,52-94,94-89
80 89 2 80-46,46-101,101-39,39-52,52-94,94-89
100 20 0 100-99,99-98,98-97,97-96,96-95,95-22,22-19,19-20
100 20 1 100-50,50-53,53-72,72-73,73-26,26-23,23-24,24-25,25-20
100 20 2 100-50,50-95,95-22,22-19,19-20
63 96 0 63-62,62-55,55-8,8-76,76-3,3-39,39-101,101-46,46-80,80-79,79-24,24-25,25-20,20-19,19-22,22-95,95-96
63 96 1 63-60,60-61,61-58,58-75,75-54,54-6,6-4,4-3,3-78,78-83,83-84,84-85,85-23,23-26,26-73,73-72,72-53,53-50,50-100,100-99,99-98,98-97,97-96
63 96 2 63-62,62-54,54-6,6-4,4-3,3-78,78-83,83-84,84-85,85-23,23-26,26-73,73-72,72-53,53-50,50-95,95-96
29 48 0 29-69,69-71,71-64,64-65,65-39,39-101,101-46,46-48
29 48 1 29-31,31-18,18-94,94-52,52-39,39-43,43-42,42-49,49-48
29 48 2 29-31,31-18,18-94,94-52,52-39,39-101,101-46,46-48
33 53 0 33-41,41-46,46-80,80-79,79-24,24-25,25-20,20-19,19-22,22-95,95-50,50-53
33 53 1 33-34,34-35,35-36,36-37,37-3,3-78,78-83,83-84,84-85,85-23,23-26,26-73,73-72,72-53
33 53 2 33-41,41-46,46-80,80-79,79-24,24-23,23-26,26-73,73-72,72-53
90 14 0 90-68,68-67,67-64,64-65,65-39,39-74,74-14
90 14 1 90-69,69-71,71-6,6-4,4-3,3-37,37-36,36-17,17-14
90 14 2 90-69,69-71,71-64,64-65,65-39,39-74,74-14
19 6 0 19-21,21-73,73-26,26-23,23-85,85-84,84-83,83-78,78-3,3-4,4-6
19 6 1 19-20,20-25,25-24,24-82,82-81,81-42,42-43,43-39,39-65,65-64,64-71,71-6
19 6 2 19-20,20-25,25-24,24-23,23-85,85-84,84-83,83-78,78-3,3-4,4-6
5 39 0 5-38,38-39
5 39 1 5-4,4-3,3-39
5 39 2 5-4,4-76,76-3,3-39
9 60 0 9-55,55-62,62-63,63-60
9 60 1 9-0,0-56,56-58,58-61,61-60
9 60 2 9-55,55-75,75-58,58-61,61-60
66 55 0 66-93,93-69,69-71,71-6,6-54,54-62,62-55
66 55 1 66-67,67-94,94-52,52-39,39-3,3-76,76-8,8-55
66 55 2 66-102,102-89,89-88,88-65,65-39,39-38,38-5,5-4,4-7,7-8,8-0,0-55
86 50 0 86-85,85-23,23-26,26-73,73-72,72-53,53-50
86 50 1 86-79,79-24,24-25,25-20,20-19,19-22,22-95,95-50
86 50 2 86-79,79-24,24-23,23-26,26-73,73-72,72-53,53-50
52 70 0 52-39,39-3,3-4,4-6,6-70
52 70 1 52-94,94-67,67-64,64-71,71-6,6-54,54-70
52 70 2 52-94,94-67,67-64,64-71,71-6,6-70
56 1 0 56-0,0-1
56 1 1 56-57,57-1
56 1 2 56-58,58-75,75-55,55-0,0-1
42 60 0 42-43,43-39,39-3,3-76,76-8,8-0,0-56,56-58,58-61,61-60
42 60 1 42-44,44-45,45-52,52-39,39-38,38-5,5-4,4-6,6-54,54-62,62-63,63-60
42 60 2 42-43,43-39,39-3,3-4,4-6,6-54,54-62,62-63,63-60
5 72 0 5-4,4-3,3-78,78-83,83-84,84-85,85-23,23-26,26-73,73-72
5 72 1 5-38,38-39,39-101,101-46,46-80,80-79,79-24,24-25,25-20,20-19,19-22,22-95,95-50,50-53,53-72
5 72 2 5-38,38-39,39-101,101-47,47-84,84-85,85-23,23-26,26-73,73-72
62 59 0 62-54,54-75,75-58,58-59
62 59 1 62-55,55-0,0-56,56-59
62 59 2 62-55,55-75,75-58,58-59
38 0 0 38-5,5-4,4-7,7-8,8-0
38 0 1 38-39,39-3,3-76,76-8,8-55,55-0
38 0 2 38-39,39-3,3-76,76-8,8-0
95 49 0 95-22,22-19,19-20,20-25,25-24,24-82,82-81,81-42,42-49
95 49 1 95-50,50-53,53-72,72-73,73-26,26-23,23-85,85-84,84-47,47-46,46-48,48-49
95 49 2 95-22,22-19,19-20,20-25,25-24,24-79,79-80,80-46,46-48,48-49
99 50 0 99-100,100-50
99 50 1 99-98,98-97,97-96,96-95,95-50
99 50 2 99-98,98-97,97-96,96-95,95-22,22-19,19-21,21-73,73-72,72-53,53-50
65 102 0 65-88,88-89,89-102
65 102 1 65-64,64-67,67-66,66-102
65 102 2 65-39,39-52,52-94,94-18,18-32,32-30,30-102
14 41 0 14-74,74-41
14 41 1 14-17,17-36,36-35,35-34,34-33,33-41
14 41 2 14-74,74-39,39-101,101-46,46-41
71 72 0 71-6,6-4,4-3,3-78,78-83,83-84,84-85,85-23,23-26,26-73,73-72
71 72 1 71-64,64-65,65-39,39-101,101-46,46-80,80-79,79-24,24-25,25-20,20-19,19-22,22-95,95-50,50-53,53-72
71 72 2 71-64,64-65,65-39,39-101,101-47,47-84,84-85,85-23,23-26,26-73,73-72
18 84 0 18-94,94-52,52-39,39-101,101-47,47-84
18 84 1 18-31,31-29,29-69,69-71,71-6,6-4,4-3,3-78,78-83,83-84
18 84 2 18-32,32-30,30-102,102-89,89-88,88-65,65-39,39-74,74-41,41-46,46-80,80-79,79-86,86-85,85-84
75 13 0 75-54,54-6,6-71,71-64,64-67,67-94,94-10,10-13
75 13 1 75-55,55-8,8-76,76-3,3-39,39-52,52-94,94-11,11-13
75 13 2 75-58,58-56,56-0,0-8,8-7,7-4,4-5,5-38,38-39,39-65,65-88,88-89,89-94,94-18,18-12,12-13
91 28 0 91-71,71-64,64-65,65-39,39-43,43-42,42-81,81-82,82-28
91 28 1 91-92,92-90,90-68,68-67,67-94,94-52,52-39,39-101,101-46,46-80,80-79,79-24,24-27,27-28
