i j cap
23 85 1000.000000
85 23 1000.000000
24 27 1000.000000
27 24 1000.000000
24 82 1000.000000
82 24 1000.000000
24 25 1000.000000
25 24 1000.000000
24 79 1000.000000
79 24 1000.000000
26 73 1000.000000
73 26 1000.000000
27 28 1000.000000
28 27 1000.000000
28 82 1000.000000
82 28 1000.000000
29 31 1000.000000
31 29 1000.000000
29 30 1000.000000
30 29 1000.000000
29 69 1000.000000
69 29 1000.000000
29 93 1000.000000
93 29 1000.000000
30 32 1000.000000
32 30 1000.000000
30 31 1000.000000
31 30 1000.000000
30 102 1000.000000
102 30 1000.000000
31 32 1000.000000
32 31 1000.000000
33 34 1000.000000
34 33 1000.000000
33 41 1000.000000
41 33 1000.000000
34 35 1000.000000
35 34 1000.000000
35 36 1000.000000
36 35 1000.000000
36 37 1000.000000
37 36 1000.000000
38 39 1000.000000
39 38 1000.000000
39 74 1000.000000
74 39 1000.000000
39 43 1000.000000
43 39 1000.000000
39 65 1000.000000
65 39 1000.000000
39 52 1000.000000
52 39 1000.000000
39 101 1000.000000
101 39 1000.000000
40 49 1000.000000
49 40 1000.000000
40 41 1000.000000
41 40 1000.000000
41 74 1000.000000
74 41 1000.000000
41 46 1000.000000
46 41 1000.000000
42 43 1000.000000
43 42 1000.000000
42 81 1000.000000
81 42 1000.000000
42 49 1000.000000
49 42 1000.000000
42 44 1000.000000
44 42 1000.000000
44 45 1000.000000
45 44 1000.000000
45 51 1000.000000
51 45 1000.000000
45 52 1000.000000
52 45 1000.000000
46 48 1000.000000
48 46 1000.000000
46 80 1000.000000
80 46 1000.000000
46 47 1000.000000
47 46 1000.000000
46 101 1000.000000
101 46 1000.000000
47 101 1000.000000
101 47 1000.000000
47 84 1000.000000
84 47 1000.000000
48 49 1000.000000
49 48 1000.000000
50 95 1000.000000
95 50 1000.000000
50 53 1000.000000
53 50 1000.000000
50 100 1000.000000
100 50 1000.000000
51 52 1000.000000
52 51 1000.000000
52 87 1000.000000
87 52 1000.000000
52 94 1000.000000
94 52 1000.000000
53 72 1000.000000
72 53 1000.000000
54 75 1000.000000
75 54 1000.000000
54 62 1000.000000
62 54 1000.000000
54 70 1000.000000
70 54 1000.000000
55 75 1000.000000
75 55 1000.000000
55 62 1000.000000
62 55 1000.000000
56 59 1000.000000
59 56 1000.000000
56 58 1000.000000
58 56 1000.000000
56 57 1000.000000
57 56 1000.000000
58 75 1000.000000
75 58 1000.000000
58 59 1000.000000
59 58 1000.000000
58 61 1000.000000
61 58 1000.000000
60 63 1000.000000
63 60 1000.000000
60 61 1000.000000
61 60 1000.000000
62 63 1000.000000
63 62 1000.000000
64 67 1000.000000
67 64 1000.000000
64 65 1000.000000
65 64 1000.000000
64 71 1000.000000
71 64 1000.000000
65 88 1000.000000
88 65 1000.000000
66 67 1000.000000
67 66 1000.000000
66 102 1000.000000
102 66 1000.000000
66 93 1000.000000
93 66 1000.000000
67 94 1000.000000
94 67 1000.000000
67 68 1000.000000
68 67 1000.000000
68 90 1000.000000
90 68 1000.000000
69 90 1000.000000
90 69 1000.000000
69 71 1000.000000
71 69 1000.000000
69 93 1000.000000
93 69 1000.000000
71 91 1000.000000
91 71 1000.000000
72 73 1000.000000
73 72 1000.000000
77 78 1000.000000
78 77 1000.000000
78 83 1000.000000
83 78 1000.000000
79 80 1000.000000
80 79 1000.000000
79 86 1000.000000
86 79 1000.000000
81 82 1000.000000
82 81 1000.000000
83 84 1000.000000
84 83 1000.000000
84 85 1000.000000
85 84 1000.000000
85 86 1000.000000
86 85 1000.000000
87 88 1000.000000
88 87 1000.000000
88 89 1000.000000
89 88 1000.000000
89 102 1000.000000
102 89 1000.000000
89 94 1000.000000
94 89 1000.000000
90 92 1000.000000
92 90 1000.000000
91 92 1000.000000
92 91 1000.000000
95 96 1000.000000
96 95 1000.000000
96 97 1000.000000
97 96 1000.000000
97 98 1000.000000
98 97 1000.000000
98 99 1000.000000
99 98 1000.000000
99 100 1000.000000
100 99 1000.000000
